Name,Rating,Address,URL,Price,Type,Phone,Cousines,Meal
Scarborough Fish & Chips Tanjung Rhu,4.0 ,"Lot 1388, Jalan Tanjung Rhu Mukin Air Hangat, Langkawi, Ayer Hangat, Langkawi 07100 Malaysia",https://www.facebook.com/scarboroughlangkawi/,$$ - $$$,$$ - $$$BarAsianBritish,+60 4-959 4667,,
Pahn-Thai Restaurant,4.0 ,"Lebuhraya Langkawi Burau Bay, Langkawi 07000 Malaysia",http://www.berjayahotel.com/langkawi/dining.asp,$$ - $$$,$$ - $$$SeafoodAsianThai,+60 4-959 1888,,
Noodle Bar at The Danna,,"The Danna Langkawi, Pantai Kok, Pantai Kok, Langkawi 07000 Malaysia",https://www.thedanna.com/dining/noodle-bar,Asian,AsianMalaysian,+60 4-959 3288,,
Hidden Langkawi Restaurant,4.0 ,"2461, Jalan Pantai Tengah Padang Mat Sirat, Kampung Kedawang, Langkawi 07000 Malaysia",https://www.facebook.com/Hidden-Langkawi-224789634982110/,$,$BarEuropeanFusion,+60 12-557 0570,,
Nasi Dagang Pak Malau,4.5 ,"No. 186, Jalan Makam Mahsuri Hadapan Masjid Bukit Temin, Langkawi 07000 Malaysia",http://www.facebook.com/Nasi-Dagang-Pak-Malau-1467590216884209,$,$AsianMalaysianHalal,+60 12-271 1977,,
Jake's Charbroil Steaks Langkawi,4.5 ,"G-1.1, Fisherman's Wharf Langkawi, Royal Langkawi Yacht Club,, Jalan Dato' Syed Omar Jalan Dato' Syed Omar, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$AmericanSteakhouseBar,+60 4-966 3078,,
Yellow Cafe,4.0 ,"Pantai Cenang, Langkawi 07000 Malaysia",http://www.facebook.com/yellowbeach.cafe/,$$ - $$$,$$ - $$$BarPizzaCafe,+60 12-459 3190,,
Terrace at The Danna,5.0 ,"Jalan Pantai Kok Telaga Harbour Park, Pantai Kok, Langkawi 07000 Malaysia",http://www.thedanna.com/dining/terrace,$$ - $$$,$$ - $$$ItalianVegetarian FriendlyVegan Options,+60 4-959 3288,Italian,"Lunch, Dinner, Drinks"
Red Tomato,4.0 ,"5 Casa Fina Avenue Opposite McDonald's, Pantai Cenang, Langkawi 07100 Malaysia",http://redtomatorestaurant.com.my/,$$ - $$$,$$ - $$$ItalianPizzaCafe,+60 4-955 4055,,
CinnamOn's,4.5 ,"16 Maliwalk Malibest Resort, Langkawi 07000 Malaysia",https://www.facebook.com/CinnamOnsGift/,$,$,+60 12-475 0469,,
Artisans Pizza Pantai Cenang Langkawi,4.5 ,"Lot 1230, Jalan Pantai Cenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianInternationalAsian,+60 12-477 1232,,
The Cliff Restaurant & Bar,4.0 ,"Jalan Pantai Cenang Lot 63 & 40, Jalan, Pantai Cenang, Langkawi 07000 Malaysia",http://theclifflangkawi.com/,$$ - $$$,$$ - $$$SeafoodAsianFusion,+60 4-953 3228,,
Kalut Cafe N Bar,4.5 ,"Mali Mali Beach Resort, Cenang Beach, 07000 Langkawi Cenang Beach, Pantai Cenang, Langkawi 07000 Malaysia",http://www.facebook.com/kalutbar/,$$ - $$$,$$ - $$$BarPub,+60 12-817 1870,,
,,,,,,,,
Bamboobalangkawi,4.5 ,"SunBlock Jalan Teluk Baru End of Sunba Block, 28, Pantai Tengah, Langkawi 07000 Malaysia",http://www.facebook.com/bamboobaloungebar/,$$ - $$$,$$ - $$$BarGastropubStreet Food,+60 12-570 0104,,
Smiling Buffalo,4.5 ,"965 Kuala Chenang Mukim Kedawang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$CafeInternationalHealthy,+60 17-489 1990,,
Pantai Grill,4.5 ,"Jalan Pantai Beringin The St. Regis Langkawi, Langkawi 07000 Malaysia",https://www.marriott.com/hotels/hotel-information/restaurant/details/lgkxr-the-st-regis-langkawi/6470424/,$$ - $$$,$$ - $$$BarPizzaSeafood,+60 4-960 6666,,
Seasonal Tastes - The Westin Langkawi Resort & Spa,4.5 ,"The Westin Langkawi Resort & Spa Jalan Pantai Dato Syed Omar Langkawi 07000, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$SeafoodInternationalHealthy,+60 4-960 8950,,
"The Dining Room, The Datai Langkawi",4.5 ,"Jalan Datai, Langkawi 07000 Malaysia",http://www.thedatai.com/dining/the-dining-room/,$$$$,$$$$InternationalVegetarian FriendlyVegan Options,+60 4-950 0500,,
Wan Thai,4.0 ,Langkawi 07000 Malaysia,,$$ - $$$,$$ - $$$AsianThaiVegetarian Friendly,,,
El Toro Langkawi - Mexican Bar & Grill,4.5 ,"FF4 Cenang Mall, Lot 2605, Pantai Cenang, Langkawi 07000 Malaysia",http://www.eltoro.my/,$,$MexicanBarGrill,+60 12-345 8770,,
Ain Arabia Restaurant & Cafe,5.0 ,"Pekan rabu,persiaran dayang Lot 1 Bandar Baru Baron, Kuah, Langkawi 07000 Malaysia",https://www.facebook.com/Ain-Arabia-restaurant-cafe-Langkawi-1380485948934270/,$$ - $$$,$$ - $$$Vegetarian FriendlyVegan OptionsHalal,+60 11-1111 0047,,
Straits & Co at The Danna,4.5 ,"Telaga Harbour Park The Danna Langkawi, Pantai Kok, Langkawi 07000 Malaysia",http://www.thedanna.com/dining/straits-co,$$ - $$$,$$ - $$$CafeDeliVegetarian Friendly,+60 4-959 3288,,
Indian Palace,4.0 ,"2, Jalan Pantai Chenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$IndianVegetarian FriendlyVegan Options,+60 12-487 8787,,
Verandah Bar & Lounge at The Danna,5.0 ,"Telaga Harbour Park The Danna Langkawi, Pantai Kok, Langkawi 07000 Malaysia",http://www.thedanna.com/dining/the-verandah-lounge,$$ - $$$,$$ - $$$Bar,+60 4-959 3288,,
Kuah Town Seafood,4.5 ,"Persiaran Dayang 2, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-472 2420,,
Yasmin Express,4.5 ,"next to Cenang Mall, Langkawi 07000 Malaysia",,$,$PizzaMediterraneanMiddle Eastern,6049523983,,
Santai,4.5 ,"209 Jalan Pantai Kok Kg Batu Ara, Kuala Teriang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$AsianFusionMalaysian,+60 4-955 2702,,
Breeze Lounge - The Westin Langkawi Resort & Spa,4.5 ,"The Westin Langkawi Resort & Spa Jalan Pantai Dato Syed Omar The Westin Langkawi Resort and Spa, Langkawi 07000 Malaysia",http://www.marriott.com/hotels/hotel-information/restaurant/details/lgkwi-the-westin-langkawi-resort-and-spa/6466482/,$$ - $$$,$$ - $$$BarCafeInternational,6049608952,"Bar, Cafe, International, Healthy",
Melayu Malay Cuisine Restaurant Pantai Tengah,4.0 ,"Jalan Teluk Baru Pantai Tengah, Langkawi 07000 Malaysia",,$,$AsianGrillFusion,+60 4-955 4075,,
Noodle Bar at The Danna,,"The Danna Langkawi, Pantai Kok, Pantai Kok, Langkawi 07000 Malaysia",,Asian,AsianMalaysian,+60 4-959 3288,,
Fair Cafe,4.0 ,"Lebuhraya Langkawi, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$IndianAsianMiddle Eastern,+60 4-966 1102,,
OMG Restaurant Langkawi at Paradise 101,4.5 ,"Telaga Harbour Marina Jalan Padang Matsirat, Langkawi 07000 Malaysia",http://www.paradise101.com/omg-restaurant/,$$ - $$$,$$ - $$$AsianPubDiner,+60 4-965 0300,,
Instea - Pantai Chenang,5.0 ,"Jalan Pantai Chenang No 1 Ground Floor, Casa Fina Avenue, Mukim Kedawang, Langkawi 07000 Malaysia",http://insteacoffeebar.com/,$$ - $$$,$$ - $$$CafeEuropeanAsian,+60 17-473 7678,,
Mare Blu Italian Ristorante,4.0 ,"B5-6, Perdana Quay, Telaga Harbour Park, Langkawi 07000 Malaysia",http://www.mareblu.com.my/,$$ - $$$,$$ - $$$ItalianPizzaMediterranean,+60 4-959 3830,,
L'Orangerie at The St. Regis Langkawi,4.5 ,"Jalan Pantai Beringin, Langkawi 07000 Malaysia",http://www.marriott.com/hotels/hotel-information/restaurant/details/lgkxr-the-st-regis-langkawi/5982200/,$$ - $$$,$$ - $$$InternationalVegetarian FriendlyVegan Options,+60 4-960 6666,,
Planter's at The Danna,4.5 ,"Jalan Pantai Kok The Danna Langkawi, Pantai Kok, Langkawi 07000 Malaysia",,$$$$,$$$$InternationalAsianMalaysian,+60 4-959 3288,"Asian, Malaysian, International","Breakfast, Dinner"
Boat Restaurant,4.0 ,"2013 Jajan Telok Baru Pantai Tengah, Mukim Kedawang, Pantai Cenang, Langkawi Malaysia",,$,$ChineseSeafoodAsian,+60 12-475 5662,,
Bella restaurant,4.0 ,"Jalan Pantai Pantai Cenang, Langkawi Malaysia",,$,$AsianMalaysianVegetarian Friendly,+60 13-222 1099,,
Ikan-Ikan,4.5 ,"Jalan Tanjung Rhu, Langkawi 07000 Malaysia",http://www.fourseasons.com/langkawi/dining/restaurants/ikan_ikan/,$$$$,$$$$SeafoodAsianMalaysian,+60 4-950 8800,,
Beach Brasserie,4.0 ,"Karung Berkunci 200 Burau Bay, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianFrenchSoups,+60 4-959 1888,,
The St. Regis Bar - The St. Regis Langkawi,4.5 ,"Jalan Pantai Beringin, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$BarPubWine Bar,+60 4-960 6666,,
Verandah Bar & Lounge at The Danna,5.0 ,"Telaga Harbour Park The Danna Langkawi, Pantai Kok, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$Bar,+60 4-959 3288,,
Pizza Hills,5.0 ,"Kuah, Kuah, Langkawi Malaysia",,$$ - $$$,$$ - $$$PizzaVegetarian FriendlyVegan Options,+60 17-528 8539,,
Gelato Cabana,4.5 ,"Jalan Pantai Cenang Jalan Pantai Cenang,, Langkawi 07100 Malaysia",https://www.facebook.com/gelatocabanalgk/,$$ - $$$,$$ - $$$DessertItalian,+60 11-2313 8269,,
Lebanon Shawarma Kebab Langkawi Cafe,4.5 ,"2, Jalan Pantai Chenang, Langkawi 07000 Malaysia",https://www.facebook.com/Lebanon-shawarma-kebab-langkawi-cafe-105625814566022/,$,$LebaneseFast foodMediterranean,+60 11-1189 1981,,
33 Bistro & Bar,4.5 ,"Lot 33 , Jalan Teluk Baru, Pantai Tengah, Kampung Tasik Anak,, Pantai Tengah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$FusionMalaysianVegetarian Friendly,+60 12-687 9099,,
BObi's Restaurant & Cafe,4.0 ,"Jalan Pantai Tengah No 4 Road to the Central Coast of Langkawi, Langkawi 07000 Malaysia",,$,$ChineseSouthwesternInternational,+60 11-2676 3229,"Chinese, Southwestern, International, Thai, Malaysian","Breakfast, Lunch, Dinner, Brunch"
Terrace at The Danna,5.0 ,"Jalan Pantai Kok Telaga Harbour Park, Pantai Kok, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianVegetarian FriendlyVegan Options,+60 4-959 3288,Italian,"Lunch, Dinner, Drinks"
Charlie's Bar & Grill,4.0 ,"Jalan Dato Syed Omar Royal Langkawi Yacht Club, Langkawi 07000 Malaysia",http://hugosgroup.com.my/charlies-bar-grill-home-page/,$$ - $$$,$$ - $$$ItalianFrenchChinese,+60 4-961 1396,,
Rockafellers Langkawi,5.0 ,"Jalan Teluk Baru Lot 31, Pantai Tengah, Langkawi 07000 Malaysia",https://www.theolivetreegroup.com/,$$ - $$$,$$ - $$$IndianEuropeanMalaysian,+60 12-673 5037,,
LaVilla Poolclub & Restaurant,4.5 ,"Jalan Pantai Tengah, Pantai Tengah, Langkawi 07000 Malaysia",http://lavilla-poolclub-restaurant.business.site/,$$ - $$$,$$ - $$$ItalianSteakhouseBar,+60 4-952 9837,,
The Loaf Perdana Quay,4.5 ,"C9 Perdana Quay Telaga Harbour Park, Langkawi, Malaysia, Langkawi 07000 Malaysia",http://www.theloaf.asia/,$$ - $$$,$$ - $$$BakeriesCafeFusion,+60 4-950 2101,,
Haroo Story Korean Restaurant,4.5 ,"Langkawi fair LOT G5 Langkawi Fair Shopping Mall, Kuah, Langkawi 07000 Malaysia",https://www.facebook.com/Haroo-Story-Korean-Culture-Cafe-176968582670174/,$$ - $$$,$$ - $$$KoreanVegetarian Friendly,+60 12-514 0049,,
The Roof Restaurant,4.0 ,"Lot 1751 Kampung Kuala Teriang, Langkawi 07100 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 4-955 2963,,
Seoul Korean Restaurant,5.0 ,"No.80A Dayang Walk Persiaran Pelangi, Kuah, Langkawi 07000 Malaysia",https://www.facebook.com/seoullangkawi,Asian,AsianKoreanVegetarian FriendlyVegan Options,+60 17-434 2057,,
Cili Kampung,4.5 ,"11 Kampung Bohor Darat, Jalan Kedawang, Langkawi 07000 Malaysia",http://cilikampung.com/,$,$AsianMalaysianVegetarian Friendly,+60 17-319 6641,,
Tapaz,4.5 ,"Kuala Chenang, Langkawi 07000 Malaysia",https://www.facebook.com/Tapaz-Langkawi-423331411376594/,$$ - $$$,$$ - $$$BarSeafoodMediterranean,+60 12-476 2486,,
Taj Mahal,4.0 ,"Jalan Pantai Cenang, Langkawi 07000 Malaysia",http://www.tajhotels.com/,$$ - $$$,$$ - $$$IndianAsianMiddle Eastern,+60 4-953 2101,,
Pom Pom Bar & Restaurant,4.5 ,"Lot 60177, Tropicana Cenang Property Gallery, Jalan Pantai Cenang, Mukim Kedawang,, Langkawi 07000 Malaysia",https://pom-pom-bar-restaurant.business.site/,$$ - $$$,$$ - $$$BarAsianThai,+60 4-952 3222,,
The Wood's Kitchen & Bar Langkawi,4.5 ,"Jalan Pantai Tengah Mukim Kedawang Langkawi, Langkawi 07000 Malaysia",,$,$BarInternationalAsian,+60 11-3382 9618,,
Teng Long Guan Seafood Restaurant,4.0 ,"Lot 1697 Jalan Teluk Baru, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseBarSeafood,+60 12-720 6005,,
Hadramawt Langkawi Restaurant,4.5 ,"69.71 langkawi mall, persiaran bunga raya kuah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$Middle EasternArabicVegetarian Friendly,+60 17-500 4011,,
Viva Italia,3.5 ,"Jalan Pantai Cenang OPP-MELATTI Tanjung, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianPizzaVegetarian Friendly,+60 11-1158 2425,,
Kapal Layar Restaurant,4.0 ,"2187 Teluk Nibong, Langkawi Malaysia",http://my.nusalist.com/pages/kapal-layar-langkawi/74632,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-495 1449,,
Kelapa Grill,4.5 ,"Jalan Tanjung Rhu, Langkawi 07000 Malaysia",http://www.fourseasons.com/langkawi/dining/restaurants/kelapa_grill/,$$$$,$$$$SeafoodInternationalAsian,+60 4-950 8888,,
Restoran Kak Yan Nasi Campur,4.0 ,"Jalan Ulu Melaka, Kampung Padang Gaong, Langkawi 07000 Malaysia",,$,$SeafoodAsianSoups,+60 11-2718 7928,,
Amani Cafe,5.0 ,"Jalan Pantai Chenang, Langkawi 07000 Malaysia",https://www.facebook.com/AMANI-Cafetaria-533564273654757/?rf=270210219760870,$,$AmericanCafeAsian,+60 18-462 2870,,
Sands,4.0 ,"Tanjung Rhu Resort, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianAmericanAsian,+60 4-959 1033,,
Artisans Pizza,4.0 ,"Perdana Quay Telaga Harbour Pekan Rabu, opposite traffic police station, Kuah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianPizzaInternational,+60 4-967 1232,,
Maya Restaurant / Cafe,4.5 ,"Jalan Teluk Baru, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianAmericanPizza,+60 17-551 9873,,
Melior Cafe Langkawi,4.5 ,"Lot 33, Pandak Mayah 4, Kuah, Langkawi 07000 Malaysia",http://www.facebook.com/meliorlangkawi,$,$CafeAsianFusion,+60 4-961 1025,,
Weng Fung Seafood Restaurant,4.5 ,"26 Jalan Penarak Kompleks Cayman, Kuah, Langkawi 07000 Malaysia",http://g.page/weng-fung-seafood-restaurant-lgk?gm,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-478 3448,,
Restoran Siti Fatimah,4.5 ,Langkawi Malaysia,,$,$AsianMalaysianVegetarian Friendly,+60 12-473 7430,,
Bohor Coffee N Cafe,5.0 ,"Lot 950, Jalan Padang Matsirat, Padang Mat Sirat, Langkawi 07000 Malaysia",https://www.facebook.com/profile.php?id=100077395190636,$$ - $$$,$$ - $$$Cafe,+60 10-389 6944,,
Restoran Aliah,4.5 ,"Jalan Kedawang Kampung Temoyong, Pantai Cenang, Langkawi 07000 Malaysia",,$,$SeafoodAsianVegetarian Friendly,+60 19-767 7063,,
House of Lamb Langkawi,4.5 ,"No.17 Kampung Dusun Jalan Ulu Melaka, Langkawi 07000 Malaysia",https://www.facebook.com/houseoflambcarspa/,$$ - $$$,$$ - $$$BarbecueHalal,+60 19-790 5720,,
Tayfun's Kitchen At Poseidon's At Royal Langkawi Yacht Club ,5.0 ,"Jalan Dato Syed Omar, Kuah, Langkawi 07000 Malaysia",,Italian,ItalianMediterraneanSpanishTurkish,+60 19-616 8602,,
Serai Restaurant,4.5 ,"Jalan Tanjung Rhu, Langkawi 07000 Malaysia",http://www.fourseasons.com/langkawi/dining/restaurants/serai/,$$$$,$$$$Italian,6049508888,,
Teo Seafood Restaurant,4.0 ,"30, Pusat Dagangan Kelana Mas Kuah 07000 langkawi, Kedah., Kuah, Langkawi Malaysia",https://www.facebook.com/pages/Teo-Seafood-Restaurant-Langkawi/1993196867371798?ref=br_rs,$$ - $$$,$$ - $$$ChineseSeafoodAsian,6049665520,,
The Three Amigos,3.5 ,"Japan Pantai Cenang Cenang beach, Pantai Cenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$MexicanVegetarian Friendly,+60 4-955 8646,,
Damascus Cafe,4.5 ,"Cenang beach, next to Mali Mali Beach Resort, Langkawi 07000 Malaysia",,$,$CafeFast foodGrill,+60 19-364 5012,,
Happy-Happy Cenang Seafood Restaurant,3.5 ,"lot44 Jalan Pantai Cenang, Langkawi Malaysia",http://www.facebook.com/happyhappycenangseafoodrestaurant,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 11-2414 2386,,
The Loaf Plaza Cenang,5.0 ,"Lot 2606, Cenang Plaza Hotel Langkawi Mukim Kadawang, Pantai Cenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$CafeAsianMalaysian,+60 4-955 1546,,
The Beach Club & Beach Bar,4.5 ,"Jalan Teluk Datai, Langkawi 07000 Malaysia",http://www.thedatai.com/dining/the-beach-club-and-the-beach-bar/,$$ - $$$,$$ - $$$ItalianSeafoodInternational,+60 4-950 0500,,
Islandish Seafood Restaurant,3.5 ,"Jalan Pantai Cenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$SeafoodAsianThai,,"Seating, Wheelchair Accessible, Serves Alcohol, Free Wifi, Table Service, Takeout, Reservations",
Restaurant Marhaba Langkawi,4.0 ,"Oriental Village, Langkawi Malaysia",http://www.facebook.com/resturantmarhaba/,$$ - $$$,$$ - $$$IndianAsianVegetarian Friendly,+60 18-919 8780,,
Barbosa Pizza & Bar,4.5 ,"Jln Dato'Syed Omar G-3.9,C/O Royal Langkawi Yacht Club, Langkawi 07000 Malaysia",http://www.facebook.com/permalink.php?id=245645515964946&story_fbid=252239511972213,$$ - $$$,$$ - $$$ItalianFrenchAmerican,+60 4-961 1196,,
CoffeeNuts,5.0 ,"12, Jalan Telaga Tujuh, Langkawi 07100 Malaysia",http://www.instagram.com/coffee.langkawi/,$$ - $$$,$$ - $$$Cafe,+60 12-503 0887,,
New Port Eatery,5.0 ,"36A Jalan Pelangi 2, Kuah, Langkawi 07000 Malaysia",,$,$SouthwesternThai,6049610313,,
Z&F Restaurant,4.5 ,"Lot 33 Jalan Teluk Baru Pantai Tengah, Langkawi 07000 Malaysia",https://www.facebook.com/pages/ZF-Restaurant/355313071312144?sk=timeline,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-560 6606,,
Telaga Seafood Restaurant,3.5 ,"Jalan Pantai Cenang, Langkawi 07000 Malaysia",http://www.telagaseafoodlgk.com/,$$ - $$$,$$ - $$$MalaysianArabicVegetarian Friendly,+60 4-955 2225,,
Tandoori & Naan Corner,5.0 ,"Dayang Walk Commercial Square Malaysia, 78, 1 78, 1, Persiaran Pelangi, Kelibang, 07000 Langkawi, Kedah, Kuah, Langkawi 07000 Malaysia",,$,$IndianAsianMiddle Eastern,+60 11-3900 5477,,
AH XI FRUI SHOP,4.5 ,"No 5 Maliwalk Malibest Jalan Opposite Palm View Restaurant, Pantai Cenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$Dessert,+60 16-415 8657,,
SECRET RECIPE,3.5 ,"Lebuhraya Langkawi Kuah, Langkawi 07000 Malaysia",http://secretrecipe.com.my/,$$ - $$$,$$ - $$$CafeInternationalVegetarian Friendly,+60 4-969 9107,,
The English Tea Room,4.0 ,"Casa Fina Avenue Pantai Cenang, Langkawi Malaysia",,$$ - $$$,$$ - $$$CafeBritish,+60 13-491 2343,,
Burgersmith Langkawi,3.5 ,"Jalan Pantai Cenang CMD1 Cenang Mall, Lot 2605, Mukim Kedawang, Langkawi 07000 Malaysia",http://www.facebook.com/myburgersmithlgk/,$$ - $$$,$$ - $$$Quick BitesAmericanVegetarian Friendly,+60 11-3324 8079,,
Tanjung Tirai View Cafe,4.5 ,"Kompleks Jeti Perlancongan, Langkawi 07000 Malaysia",http://www.facebook.com/pages/Tanjung-Tirai-View-Cafe-Sate-House-/147892518624087,$$ - $$$,$$ - $$$SeafoodAsianThai,+60 17-538 8099,,
Indian Palace Restaurant,4.0 ,"2, Jalan Pantai Chenang Kampung Lubok Buaya, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseIndianArabic,+60 11-1779 9984,,
May Yi Cafe,4.0 ,"Plot 22 Komplex Cayman, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseEuropeanAsian,+60 4-966 1063,,
The Argan Trees,5.0 ,"Sunblock Jalan Teluk Baru Near Bambooba and Haroo, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianPizzaSeafood,+60 4-955 3066,,
Hornbill Café,4.5 ,"Jln Teluk Datai The Els Club Teluk Datai - Rainforest Course, Datai, Langkawi 07000 Malaysia",https://www.elsclubmalaysia.com/hornbill_cafe/,$$ - $$$,$$ - $$$AmericanInternationalEuropean,+60 4-959 2700,,
Qiangshifu,4.0 ,"No 20.21.22, Langkawi Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 17-561 2223,,
Pelangi Grill ,5.0 ,"Pelangi Beach Resort & Spa, Pantai Cenang, Langkawi 07000 Malaysia",https://www.pelangiresort.com/dining/pelangi-grill,$$$$,$$$$BarInternationalBarbecue,+60 4-952 8888,,
FB Cafe - Napolitan Pizza,5.0 ,"No 50, Mukim, Kampung Padang Gaong, Langkawi 07000 Malaysia",,Italian,ItalianAmericanPizza,+60 17-430 5921,,
Atlantis Restaurant,5.0 ,"Lot 764 Kg Ketapang, Langkawi 07000 Malaysia",https://www.facebook.com/Atlantis-Arabic-Restaurant-2018338768425620/,$$ - $$$,$$ - $$$Malaysian,+60 19-477 3795,,
Cappuccino House,4.0 ,"No. 1 Jalan Pandak Mayah 5, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$BarPizzaCafe,+60 17-414 6666,,
The Absolut by The Smith House,4.5 ,"The Smith House Langkawi Bandar Padang Matsirat, 07100 Daerah Langkawi, Kedah Darul Aman. Malaysia, Langkawi 07100 Malaysia",http://www.thesmith-house.com/,$$ - $$$,$$ - $$$InternationalAsianVegetarian Friendly,+60 4-952 3777,,
Zhong Hua Lou Seafood Restaurant,4.5 ,"1 Pantai Tengah, Langkawi 07000 Malaysia",,$,$ChineseSeafoodAsian,+60 4-955 9688,,
Gym Cafe & Restaurant,5.0 ,"113 Kg Kuala Temonyong, Langkawi 07000 Malaysia",http://gym-cafe-fitness-center-restaurant.business.site/?utm_source=gmb&utm_medium=referral,$,$MoroccanSouthwesternPizza,+60 10-203 4324,,
Kak Hawa Restaurant,5.0 ,"Jalan Teluk Yu, Langkawi 07000 Malaysia",,Asian,AsianMalaysianVegetarian Friendly,,,
Rhu Deck,5.0 ,"Tanjung Rhu Resort, Tanjung Rhu, Langkawi 07000 Malaysia",http://tanjungrhu.com.my/,Bar,BarCafeAsianPub,+60 4-959 1033,,
The Float,4.5 ,"Jalan Pantai Dato Syed Omar The Westin Langkawi Resort & Spa, Langkawi 07000 Malaysia",https://www.marriott.com/hotels/hotel-information/restaurant/details/lgkwi-the-westin-langkawi-resort-and-spa/6029737/,$$$$,$$$$InternationalIndonesianVegetarian Friendly,+60 4-960 8888,,
Restoran Makanan Laut Yong Leong,4.0 ,"Persiaran Mutiara, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 4-966 8495,,
Ka Kee Lang Seafood Restaurant,4.0 ,"Kuah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,,,
