Name,Rating,Address,URL,Price,Type,Phone,Cousine
Maiale Japanese Style Italian Restaurant,4.5 ,"5 Jalan Datuk Yeoh Cheng Lee, Ipoh 30300 Malaysia",http://www.facebook.com/Maiale-Japanese-Style-Italian-Restaurant-436853349812401/,$$ - $$$,$$ - $$$Italian,+60 5-241 1405,Italian
Having's,4.5 ,"Pusat Perdagangan Canning No 8 Jalan Canning Estate, Ipoh 31400 Malaysia",http://www.facebook.com/havingsipoh/,$$ - $$$,$$ - $$$FrenchEuropean,+60 17-453 9089,"French, European"
East Ocean Seafood Restaurant,4.5 ,"No 1-7 Hala Perusahaan Menglembu 17, Ipoh 31450 Malaysia",https://www.facebook.com/pages/East-Ocean-Seafood-Restaurant-Menglembu-%E4%B8%9C%E6%B5%B7%E9%B1%BC%E7%BF%85%E9%85%92%E5%AE%B6%E4%B8%87%E9%87%8C%E6%9C%9B/150052651674409,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 5-282 9457,"Dinner, Lunch"
Vegan Delights,4.5 ,"Jalan Kampar, Ipoh 30250 Malaysia",https://www.facebook.com/VeganDelightsCafe/,$$ - $$$,$$ - $$$ItalianChineseCafe,+60 12-405 9672,"Vegetarian Friendly, Vegan Options"
Indulgence Restaurant,3.5 ,"14 Jalan Raja Dihilir, Ipoh 30350 Malaysia",http://www.facebook.com/Indulgence-Restaurant-Living-123354367728999/?ref=page_internal,$$$$,$$$$EuropeanContemporaryVegetarian Friendly,+60 5-255 7051,"European, Contemporary"
Patisserie Boutique,4.0 ,"103 Jalan Sultan Yusuff, Ipoh 30000 Malaysia",http://facebook.com/Patisserie.BoutiQue,$$ - $$$,$$ - $$$DessertCafeFusion,+60 5-241 1385,"Cafe, Fusion"
Restoran Assam House,4.0 ,"Greentown Business Center, 30450 Ipoh, Perak, Malaysia. No. 29 Persiaran Greentown 4 New town, Ipoh 30450 Malaysia",http://assamhousegreentownipoh.simplesite.com/,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 5-243 7851,"Halal, Vegetarian Friendly"
Restoran Hong Kong Dim Sum BFB,4.5 ,"61 Persiaran Bandar Baru Tambun 16 Taman Ipoh Impish, Ipoh 31400 Malaysia",,$,$ChineseAsianCantonese,+60 10-220 3812,"Breakfast, Lunch"
Restoran Mun Choong S/B,4.5 ,"Ipoh, Perak, Malaysia 511-517 Jalan Pasir Puteh, Ipoh 31650 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 5-321 2815,Vegetarian Friendly
Morel,4.5 ,"A-g-12a, Soho Ipoh Jalan Sultan Iskandar, Ipoh 30000 Malaysia",http://www.facebook.com/MOREL-Restaurant-169214653815418,$$ - $$$,$$ - $$$ItalianEuropeanFusion,+60 10-928 7291,Vegetarian Friendly
Vintage Cafe,4.0 ,"21 Jalan Market, Ipoh 30000 Malaysia",http://www.facebook.com/vintagecafeipoh,$$ - $$$,$$ - $$$BarPizzaCafe,+60 5-241 4955,"Cafe, Bar, Pizza, European, Diner"
Old Town White Coffee,3.5 ,"Jalan Greentown Suite 2 and 2A, Ipoh 30450 Malaysia",http://www.oldtown.com.my/,$$ - $$$,$$ - $$$CafeAsianMalaysian,+60 5-253 9876,"Lunch, Dinner, Brunch"
Breda Cafe,5.0 ,"22, Jalan Medan Ipoh 9, Bandar Baru Medan (10,388.68 km), Ipoh 31400 Malaysia",http://www.facebook.com/bredacafe,$,$ItalianAmericanCafe,+60 11-5622 3182,"Italian, Cafe, American, British, Soups"
Atapas Restaurant,5.0 ,"42A Lorong Cheah Cheang Lim 42a, Ipoh 30350 Malaysia",http://web.facebook.com/atapastastings,$$$$,$$$$ItalianEuropeanAsian,+60 17-558 8897,"Lunch, Dinner, Drinks"
Restoran Nasi Ayam Pak Kong,4.0 ,"27 Jalan Theatre, Ipoh 30300 Malaysia",,$,$ChineseAsianMalaysian,+60 12-588 6618,Lunch
Atas Speakeasy,4.5 ,"183A Jalan Sultan Idris Shah Taman Jubilee, Ipoh 30000 Malaysia",,$$ - $$$,$$ - $$$,+60 12-778 7365,Drinks
Cafe de Eight,4.5 ,"8 Jalan Koo Chong Kong, Ipoh 30000 Malaysia",http://www.facebook.com/cafedeeight,$$ - $$$,$$ - $$$DessertCafe,+60 5-241 2758,Cafe
Sri Ananda Bhavan,4.0 ,"Restaurant Sri Ananda Bahwan, Ipoh 30000 Malaysia",http://www.srianandabahwan.com.my/,$,$IndianAsianVegetarian Friendly,012-477-5981-05-253-9798,"Vegetarian Friendly, Vegan Options"
Restoran SSF,4.5 ,"18 Hala Datoh 5 off Jalan Leong Boon Swee, Ipoh 30000 Malaysia",http://www.facebook.com/pg/Restoran-SSF-%E6%80%A1%E4%BF%9D%E6%96%B0%E6%88%90%E5%8F%91-147025301980614/about/?ref=page_internal,$,$ChineseAsian,+60 12-507 3536,"Breakfast, Lunch"
Restoran M Salim,4.0 ,"cnr Jln Che Tak & Jln Yang Kalsom New town, Ipoh Malaysia",,$,$IndianAsianMalaysian,+60 5-255 5786,Halal
Wing Zone Ipoh,4.0 ,"20 Persiaran Greentown 1 Greentown Business Center, Ipoh 30450 Malaysia",https://wingzone.com.my/,$$ - $$$,$$ - $$$American,+605 246 0687,"Lunch, Dinner, Brunch, After-hours"
Tuck Kee Restaurant Sdn. Bhd.,3.5 ,"1 Persiaran Tokong Pasir Pinji,, Ipoh 31650 Malaysia",http://www.j2kfm.com/tuck-kee-fried-noodles-wat-tan-hor-ipoh,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 5-254 1906,"Lunch, Dinner"
Pick A Pot Bak Kut Teh,5.0 ,"3 Jalan Centrepoint 2 Pinji Centrepoint, Ipoh 31650 Malaysia",http://www.facebook.com/pickapot416,$$ - $$$,$$ - $$$ChineseAsianContemporary,+60 12-252 5488,"Chinese, Contemporary, Fusion, Malaysian, Asian, Soups"
Sun Kok Kee dim sum,4.0 ,"7-11 Persiaran Bercham timur 1 7-11, Persiaran Bercham Timur 1, Taman Bercham Baru, Ipoh, Kinta District, Perak, Ipoh 31400 Malaysia",http://www.facebook.com/sunkokkee,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 10-880 5805,"Lunch, Brunch, Breakfast"
Restoran Moon De Moon,4.0 ,"148 Hala Wah Keong Taman Mirindi, Ipoh 31400 Malaysia",,$,$AsianMalaysian,+60 12-516 0485,"Breakfast, Brunch"
Curry Keng,4.5 ,"15 & 15A, Hala Pasar Baru, Ipoh 30300 Malaysia",,$,$ChineseAsianMalaysian,+60 12-528 3839,Vegetarian Friendly
The Limestone's Fine Dining,4.0 ,"131 Ground Floor Jalan Raja Ekram,, Ipoh 30450 Malaysia",http://www.regalodge.com.my/thelimestones,$$$$,$$$$SeafoodEuropean,+60 5-242 3241,"Seafood, European"
Fu Tien Vegetarian Restaurant,4.5 ,"Medan Ipoh Bistari (at opposite 34 Jalan Medan, Ipoh 30200 Malaysia",,$$ - $$$,$$ - $$$SushiAsianMalaysian,,"Vegetarian Friendly, Vegan Options"
Black Canyon Coffee Restaurant,4.0 ,"Lembah Kinta Lot G29, Ground Floor, AEON Mall Kinta City, Ipoh 31400 Malaysia",http://blackcanyon.com.my/,$$ - $$$,$$ - $$$CafeAsianThai,+60 5-546 0329,"Vegetarian Friendly, Halal"
Kedai Makanan Rasa Lain,4.0 ,"69 Persiaran Medan Bercham 2 Pusat Bandar Baru Bercham, Ipoh 31400 Malaysia",http://www.facebook.com/LondonFoodsousse/,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-512 8407,Dinner
Koh Samui,4.0 ,"83/85 Jalan Raja Ekram, Ipoh Malaysia",,$$ - $$$,$$ - $$$AsianThaiVegetarian Friendly,,"Vegetarian Friendly, Halal"
Petit Mary Patisserie,4.0 ,"No. 83 Jalan Langsat Taman Teh Teng Seng, Ipoh 31400 Malaysia",http://www.facebook.com/Petit-Mary-Patisserie-401512793359482/,$$ - $$$,$$ - $$$BakeriesCafeEuropean,60 5-547 1328,Vegetarian Friendly
Restoran Sin Lean Lee,4.5 ,"Jalan Bandar Timah 21 Jalan Panglima, Ipoh 30000 Malaysia",http://www.facebook.com/pages/Sin-Lean-Lee-Restaurant/275522959245462,$,$AsianMalaysian,+60 5-243 4402,"Breakfast, Brunch"
Restoran Chooi Yue Dim Sum,3.5 ,"2 Tingkat Taman Ipoh, Ipoh 31400 Malaysia",https://www.facebook.com/ChooiYueDimSum,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 16-534 5965,"Breakfast, Brunch, Lunch"
Crabtain Hook Restaurant,4.5 ,"Lot 15,Jalan Lapangan Symphony,Symphony Business Park, Ipoh 31350 Malaysia",http://www.facebook.com/CrabtainHook/,$$ - $$$,$$ - $$$SeafoodThai,+60 19-410 8257,"Seafood, Thai"
Chang Jiang White Coffee Cafe,4.0 ,"No. D2-19, Jalan Dutamas 2, Ipoh 30250 Malaysia",http://www.cjcoffee.com/,$$ - $$$,$$ - $$$Cafe,+60 5-253 8896,"Breakfast, Brunch, Lunch"
Crazy Ice Cream & Salad House,4.0 ,"No. 39 Persiaran Green Hill, Ipoh 30450 Malaysia",https://www.facebook.com/CrazyIceCreamHouse/,$$ - $$$,$$ - $$$DessertChineseSteakhouse,+60 17-552 5338,"Asian, Healthy, Chinese, Steakhouse, Diner, Malaysian"
Briyani King,4.5 ,"No 57-59 Jalan Laxamana, Ipoh 30300 Malaysia",http://briyaniking.com/,$,$IndianAsianMalaysian,+60 11-3330 1008,"Indian, Asian, Malaysian"
Euro House,4.0 ,"49-51 Jalan Hussein, Ipoh 30250 Malaysia",,$$ - $$$,$$ - $$$BarEuropeanPub,60 5-255 5532,"Bar, European, Pub"
Nasi Ayam Stadium,5.0 ,"35 Jalan Pengkalan 1 Taman Pengkalan Utama, Ipoh 31650 Malaysia",http://www.facebook.com/Nasi-Ayam-Stadium-Ipoh-Pengkalan-367868287025614/,$,$AsianHealthyMalaysian,+60 19-450 9478,"Asian, Malaysian, Healthy"
Lai Kee Soya,5.0 ,"57 Jalan Theatre, Ipoh 30300 Malaysia",,Dessert,DessertChineseMalaysian,+60 16-531 1118,
Konda Kondi Cafe And Bistro,4.0 ,"183 Jalan Sultan Idris Shah, Ipoh 30000 Malaysia",,$$ - $$$,$$ - $$$SouthwesternAsianMalaysian,+60 14-308 2321,Halal
Maria's Steak Cafe,4.0 ,"60 Persiaran Greentown Greentown Business Centre,, Ipoh 30450 Malaysia",http://www.marias.com.my/,$$ - $$$,$$ - $$$Steakhouse,+60 5-242 4133,Dinner
Sun Lee How Fook,4.0 ,"No. 96 Jalan Kampar Malaysia., Ipoh Malaysia",,$$ - $$$,$$ - $$$ChineseAsianCantonese,6052411468,"Dinner, Lunch"
Restoran Choong Kee Pokok Besar,4.0 ,"1213 Jalan King, Ipoh 31650 Malaysia",https://www.facebook.com/%E5%BF%A0%E8%AE%B0%E5%85%B5%E5%A6%82%E6%B8%AF%E5%8F%A3%E5%A4%A7%E6%A0%91%E5%A4%B4%E7%82%B8%E6%96%99%E7%B2%89%E7%BE%8E%E9%A3%9F%E8%BD%A9%E6%80%BB%E5%BA%97%E6%97%A7%E5%BA%97%E9%9A%94%E5%A3%81-768817799838993/,$,$ChineseCafeAsian,+60 5-241 1993,"Brunch, Lunch"
Hoong Tho Restaurant,4.0 ,"20 Jalan Bandar Timah, Ipoh 30000 Malaysia",http://www.facebook.com/ARASTA-CAFE-RESTORANT-2223570284431026/,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 5-254 9673,"Lunch, Dinner"
La Formule Bistro,5.0 ,"17 & 19 Lapangan Symphony Business Park Jala Raja Dr. Nazrin Shah, Ipoh 31350 Malaysia",http://la-formule-bistro.business.site/,$$ - $$$,$$ - $$$French,+60 5-318 2298,French
Restoran Nam Chau,4.0 ,"54 Jalan Bandar Timah, Ipoh 30000 Malaysia",https://www.facebook.com/namchauwhitecoffe/,$,$Chinese,+60 12-462 5223,"Breakfast, Lunch, Brunch"
Tamara’s,4.0 ,"36 Persiaran Greenhill, Ipoh Malaysia",https://www.facebook.com/tamarasipoh/,$,$IndianAsianSri Lankan,+60 12-642 8821,Dinner
Zakka Loft,4.5 ,"No. 2 Jalan Medan Ipoh 1C Medan Ipoh Bistari, Ipoh 31400 Malaysia",http://www.facebook.com/zakkaloft,$$ - $$$,$$ - $$$DessertCafe,+60 13-525 3591,"Lunch, Dinner, After-hours, Drinks"
Wong Koh Kee Restaurant,4.0 ,"No 3 Lorong Panglima, Ipoh 30000 Malaysia",http://www.j2kfm.com/ipoh-old-town-wong-koh-kee-concubine-lane/,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 5-541 9474,"Lunch, Dinner"
Genki Japanese Food,5.0 ,"9 Jalan Tun Sambanthan, Ipoh 30000 Malaysia",https://www.facebook.com/genkijapanfood,Japanese,JapaneseSushiJapanese Fusion,+60 5-210 8832,"Dinner, After-hours"
Zento Sushi,4.0 ,"Medan Ipoh Festival Walk, Ipoh Malaysia",http://www.facebook.com/ZentoSushi,$$ - $$$,$$ - $$$JapaneseSushiAsian,6055452966,"Vegetarian Friendly, Vegan Options"
Restoran Chef Fatt,4.0 ,"57-59 Jalan Raja Ekram, Ipoh 30450 Malaysia",,$,$ChineseAsianCantonese,+60 12-508 9126,"Breakfast, Lunch, Brunch"
Asow Eatery Station,5.0 ,"Jalan Tambun Baru, Kampung Ampang Baru New Village, PT 188913, Ipoh 31400 Malaysia",,,,+60 12-510 8399,
The Deck,3.5 ,"292 Jalan Sultan Idris Shah Weil Hotel, Ipoh 30000 Malaysia",http://www.weilhotel.com/pages/view/dinning,$$ - $$$,$$ - $$$BarPub,+60 5-208 2228,Drinks
Mad Ramen Bar,5.0 ,"3 Jalan Panglima, Ipoh 30000 Malaysia",http://tr.ee/iwyY8kotb5,$,$Beer restaurantsJapanese Fusion,6052108866,"Beer restaurants, Japanese Fusion"
Restoran Ipoh Kong Heng,4.0 ,"75 Jalan Bandar Timah, Ipoh 30000 Malaysia",,$,$ChineseAsianMalaysian,+60 12-593 1303,"Breakfast, Lunch"
Buntong Bean Sprout Chicken,4.0 ,Ipoh Malaysia,,$$ - $$$,$$ - $$$ChineseAsian,,"Chinese, Asian"
Ding Feng Teow Chew Tau Fu Fa,4.0 ,"8 Lorong Panglima Concubine Lane, Ipoh 30000 Malaysia",,$$ - $$$,$$ - $$$DessertChineseMalaysian,+60 12-527 1028,
Onn Kee Restaurant (Tauge Ayam Kue Tiau),3.5 ,"49 Jalan Yau Tet Shin, Ipoh 30300 Malaysia",http://www.onnkee.com/,$$ - $$$,$$ - $$$Chinese,+60 16-443 2090,"Lunch, Dinner, After-hours"
Hong Kee Confectionery Trading,4.5 ,"14 Jalan Dato Onn Jaafar, Ipoh 30300 Malaysia",,Bakeries,Bakeries,+60 17-592 8303,
Restoran Tauge Ayam Lou Wong,3.5 ,"69, Jalan Bandar Timah, Ipoh Malaysia",,$,$ChineseAsianMalaysian,+60 16-598 3077,"Lunch, Dinner"
The Bistro,4.5 ,"18 Jalan Raja Dr Nazrin Shah Impiana Hotel Ipoh, Ipoh 30250 Malaysia",http://ipohhotels.impiana.com/,$$ - $$$,$$ - $$$Contemporary,60 (5) 255 5555,"Dinner, After-hours, Drinks"
Miker Food,4.0 ,"Jalan Padang Dataran Ipoh, Ipoh 30020 Malaysia",,French,FrenchMexicanFast foodAsian,,"Halal, Vegetarian Friendly"
Chakori,4.5 ,"35 Jalan Market, Ipoh 30000 Malaysia",https://www.facebook.com/chakori2,Dessert,DessertCafe,+60 16-902 5191,Table Service
Kafe Yoon Wah,3.5 ,"7 Jalan Bijeh Timah, Ipoh 30000 Malaysia",http://www.facebook.com/sheezanparis/,$$ - $$$,$$ - $$$ChineseAsian,+60 5-253 9980,"Seating, Serves Alcohol, Table Service"
Ipoh Hainan Chicken Rice,3.5 ,"107, Jalan Raja Musa Aziz, Ipoh Malaysia",,$$ - $$$,$$ - $$$AsianMalaysianHalal,+60 5-254 5591,Halal
Oversea Restaurant (Haewaytian),4.0 ,"No. 57 Jalan Seenivasagam, Ipoh 30450 Malaysia",http://www.oversea.com.my/,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 5-253 8005,"Lunch, Dinner"
Ipoh Traditional Style Chee Cheong Fun,4.5 ,"Jalan Dato Tahwil Azhar, Ipoh 30300 Malaysia",https://www.facebook.com/%E6%B0%B8%E5%AE%89%E5%9B%AD%E7%8C%AA%E8%82%A0%E7%B2%89-Taman-Wing-Onn-Chee-Cheong-Fen-297945727558172/,$,$ChineseIndianAsian,+60 17-528 7384,"Chinese, Indian, Asian, Malaysian, Healthy"
Restaurant Humaira Mughal Kitchen,5.0 ,"No 54 Jalan Seenivasagam Kg Jawa Greentown Ipoh Opp Hotel Excelsior,greentown, Ipoh 30450 Malaysia",,$,$IndianAsianMiddle Eastern,+60 11-1509 8379,"Lunch, Dinner, Drinks"
Galanggal Cafe,5.0 ,"Jalan Lee Kwee Foh 58 Lorong Cecil Rae Taman Canning, Ipoh 31400 Malaysia",http://www.galanggal.com/,$$ - $$$,$$ - $$$FusionMiddle EasternEastern European,+60 19-241 5034,"Fusion, Middle Eastern, Eastern European"
Old Town Kopitiam,3.5 ,"2 Jalan Tun Sambathan Old Town, Ipoh 30000 Malaysia",,$$ - $$$,$$ - $$$CafeAsianMalaysian,,"Breakfast, Dinner"
"Menate Steak Hub, Ipoh",4.0 ,"5 Jalan Dato Seri Ahmad Said, Ipoh 31200 Malaysia",http://www.facebook.com/menateipoh,Italian,ItalianAmericanPizzaBarbecue,+60 5-246 1226,"Lunch, Dinner, Brunch"
Restoran Simpang Tiga (Medan-Ipoh),3.5 ,"Jalan Dato Seri Ahmad Said, Ipoh 30450 Malaysia",http://restoransimpangtigaipoh.blogspot.my/?m=1,$$ - $$$,$$ - $$$AsianIndonesianHalal,+60 5-255 1220,Halal
Gopeng Antique Kopitiam,4.0 ,"No 3 Jalan Pasar, Gopeng 31600 Malaysia",http://www.facebook.com/gopengantiquekopitiam/,Southwestern,SouthwesternCafeAsianMalaysian,6053593559,Vegetarian Friendly
Restoran Samy,4.0 ,"70 Main Road 32100 Chemor, Chemor 31200 Malaysia",,$$ - $$$,$$ - $$$IndianAsianMalaysian,,"Vegetarian Friendly, Vegan Options, Halal"
Vegan life restoran,4.0 ,"25 Jalan Medan Ipoh 7, Ipoh 31400 Malaysia",http://www.facebook.com/veganlife88,$$ - $$$,$$ - $$$AsianMalaysianVegetarian Friendly,6055415702,"Vegetarian Friendly, Vegan Options"
Maharaj,3.5 ,"36 Jalan Raja Dr Nazrin Shah, Ipoh 30250 Malaysia",,$$ - $$$,$$ - $$$IndianAsianVegetarian Friendly,+60 5-243 2515,"Vegetarian Friendly, Vegan Options"
Cun Cun Cafe,5.0 ,"154 Jalan Sultan Idris Shah, Ipoh 31400 Malaysia",http://goodtyms12345.wixsite.com/cuncuncafe,$,$ChineseSouthwesternEuropean,+60 5-255 7766,
Sam Ma Chicken Rice Shop,4.0 ,"3 Jalan S.A. Linga Ipoh Garden South, Ipoh 31400 Malaysia",,$,$,+60 18-577 7282,Table Service
Restaurant Paris Hakka Mee (Yin Yau Kui),3.5 ,"153, Jalan Sultan Iskandar, Ipoh 30000 Malaysia",,$,$ChineseAsianMalaysian,+60 16-531 2607,"Malaysian, Chinese, Asian"
Restoran Makanan Laut Crab House,4.0 ,"32 Laluan Perajurit 1, Ipoh 31400 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafood,+60 12-565 7723,Reservations
Restoran Xin Quan Fang,3.5 ,"174, Jalan Sultan Iskandar, Taman Jubilee, Ipoh 30000 Malaysia",,$,$ChineseMalaysian,+60 16-531 4193,"Breakfast, Lunch"
David's Diner,4.0 ,"B-G-1, Persiaran Greentown 7 Pusat Perdagangan Greentown, Ipoh 30450 Malaysia",http://www.facebook.com/davidsdinerr/,$$ - $$$,$$ - $$$American,+60 5-242 5733,"Lunch, Dinner, Brunch"
Volcano Grill Café,4.0 ,"31 Jalan Ampang Baru 6B Pusat Perdagangan Ampang Baru, Ipoh 31350 Malaysia",http://www.facebook.com/volcano.grill.cafe,$$$$,$$$$SteakhouseEuropeanFusion,+60 11-3140 4800,Dinner
Ipoh Old Town Tart King,5.0 ,"2 Jalan Panglima, Ipoh 30000 Malaysia",,$,$ChineseEuropeanAsian,+60 12-522 6026,"Breakfast, Lunch"
TWT Tea Warmer Treat,4.0 ,"30 Jalan Medan Ipoh 1D, Ipoh 31400 Malaysia",https://www.facebook.com/twt.teacafe,$$ - $$$,$$ - $$$BakeriesPizzaCafe,+60 16-266 9207,"Cafe, Pizza, Fusion"
1919 Restaurant and Gallery,3.5 ,"1 Jalan Medan Ipoh 6 Taman Ipoh Timur, Ipoh 31400 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 5-547 7196,"Asian, Chinese, Malaysian"
Kannaas Banana Leaf Bamboo Briyani,4.0 ,"1 Jalan Perhentian Medan Kidd, Ipoh 30200 Malaysia",https://kannaas-banana-leaf-bamboo-briyani.business.site/,$$ - $$$,$$ - $$$IndianAsianMalaysian,+60 12-222 4445,"Dinner, Lunch"
Ipoh Padang Curry House,4.5 ,"NO. 93 Jalan Raja Ekram, Ipoh 30450 Malaysia",,$$ - $$$,$$ - $$$,+60 5-243 9097,
Lai Kee Chop Rice,4.5 ,"18 Jalan Foo Choo Choon Jalan laxamana, Ipoh 30300 Malaysia",http://m.facebook.com/superkintalaikeechoprice/?ref=bookmarks,$$$$,$$$$Chinese,+60 16-560 9809,Chinese
Huat Chicken Restaurant,4.0 ,"No 4 Jalan Medan Ipoh 1C Medan Ipoh Bistari, Ipoh 31400 Malaysia",https://www.facebook.com/huatchickenipoh/,$,$Chinese,+60 6055417917,Chinese
K10 Claypot Chicken Rice,3.5 ,"576 Lorong Bercham 4, Ipoh 31400 Malaysia",,$,$Asian,+60 12-518 1116,Dinner
Kedai Kopi Keng Nam,4.0 ,"Jalan Raja Ekram Kampung jawa, Ipoh 30450 Malaysia",,$,$AsianMalaysian,+60 5-255 7328,Breakfast
Krishna Bhawan Restaurant,5.0 ,"8 Jalan Lahat, Ipoh 30200 Malaysia",,$,$IndianAsianMalaysian,+60 12-510 8880,"Indian, Asian, Malaysian"
Restaurant Dim Sum Chang Keong,4.0 ,"34, Jalan Raja Ekram (Cowan Street), Ipoh 31200 Malaysia",https://www.facebook.com/Restoran-Chang-Keong-Dim-Sum-100890509997178/,Chinese,Chinese,+60 16-541 5877,
Restoran Mee Rebus Ramli,4.0 ,"No. 767 Persiaran Taman Tasik Jalan Kuala Kangsar, Ipoh 31400 Malaysia",,$$ - $$$,$$ - $$$AsianMalaysianHalal,,Halal
