poiID,activityRating,ratingDate,userID
P003755,4,4/6/2023,U05209
P001769,2,28/6/2022,U03990
P001938,1,1/6/2022,U04182
P001168,4,12/3/2022,U08111
P003887,3,10/2/2023,U05593
P002145,2,27/4/2022,U06450
P001577,4,17/3/2022,U01863
P004189,1,22/3/2023,U09179
P001110,3,25/10/2022,U06828
P002717,5,18/8/2023,U01176
P005021,1,5/5/2022,U02789
P005082,3,10/5/2023,U06205
P000716,4,20/10/2023,U08900
P003197,5,9/11/2022,U07842
P001386,5,20/9/2022,U03416
P002984,3,5/11/2022,U07298
P002797,3,22/9/2023,U02262
P004999,3,11/7/2022,U00828
P000913,3,13/5/2022,U05226
P004138,1,21/9/2023,U00563
P004069,5,1/6/2023,U00074
P000537,3,24/7/2023,U01460
P001050,4,7/2/2022,U08154
P003161,4,13/6/2022,U02117
P002352,2,19/4/2022,U02296
P003625,5,10/3/2022,U01851
P005149,4,5/8/2023,U03155
P003375,5,27/12/2022,U01934
P001138,1,24/1/2023,U06296
P001475,3,19/4/2022,U09175
P005200,4,14/2/2023,U09142
P000653,3,19/12/2022,U05609
P002391,4,23/10/2022,U04706
P004298,5,19/9/2022,U03073
P002085,4,20/9/2023,U04254
P004102,2,11/7/2023,U01505
P003852,2,28/2/2023,U03135
P001449,1,19/10/2022,U01445
P000240,2,16/5/2022,U04261
P004224,5,7/7/2022,U00313
P003829,4,6/7/2023,U05318
P000121,2,12/3/2022,U05920
P000957,5,13/4/2023,U06295
P003971,2,21/9/2023,U01784
P003849,3,18/5/2022,U09158
P002205,4,12/8/2023,U05045
P003006,4,22/8/2023,U01612
P002188,3,25/2/2022,U09011
P005082,4,12/9/2022,U02623
P000272,1,8/1/2022,U01509
P004767,4,22/4/2023,U07561
P003820,2,11/8/2023,U06834
P002593,5,12/8/2022,U02270
P005149,5,12/9/2023,U06986
P000899,4,10/4/2022,U04844
P002127,2,4/8/2022,U03031
P003578,4,13/4/2022,U00899
P002999,2,16/8/2023,U07595
P004986,5,13/3/2022,U09857
P000521,3,19/9/2023,U01803
P004991,4,8/6/2022,U06877
P000987,4,28/8/2023,U01295
P002504,1,8/12/2022,U00822
P004885,3,16/9/2022,U00726
P003679,5,19/12/2022,U05891
P000473,1,19/5/2023,U03814
P000049,2,5/1/2022,U03715
P001723,5,26/4/2022,U00104
P001415,1,23/1/2022,U03587
P002832,5,6/3/2022,U00639
P003082,5,21/8/2022,U03168
P004535,3,4/5/2023,U09413
P003756,1,15/12/2022,U03447
P002249,4,12/2/2023,U06990
P004545,3,10/2/2023,U03946
P004341,4,8/7/2022,U06361
P003818,1,13/5/2023,U05037
P001971,4,14/3/2022,U05176
P004219,3,18/5/2022,U04875
P004606,1,29/10/2022,U05839
P003175,4,13/3/2023,U04623
P004432,2,25/9/2023,U05316
P002839,2,24/1/2022,U03226
P000020,5,8/10/2022,U01572
P001390,4,31/5/2023,U01259
P001161,3,2/10/2023,U00995
P003101,3,16/6/2023,U00609
P000840,5,7/1/2023,U04933
P004019,3,17/10/2023,U02434
P004406,3,9/4/2023,U08916
P003775,3,29/10/2023,U01812
P002672,5,7/6/2022,U09857
P003133,2,20/3/2022,U01007
P004524,3,27/12/2022,U03099
P004380,1,28/3/2023,U01461
P002683,2,4/3/2023,U08769
P000988,1,24/9/2022,U06553
P004114,1,25/12/2022,U00626
P004884,1,26/4/2023,U06444
P002844,1,9/12/2022,U05927
P000191,4,28/5/2022,U01720
P002039,4,17/7/2022,U02884
P004719,1,29/4/2023,U07788
P002799,3,8/5/2023,U06294
P004049,2,22/5/2022,U08339
P004974,2,22/4/2022,U08886
P005122,2,5/6/2023,U01819
P003654,4,17/10/2022,U04745
P003244,2,16/6/2022,U02143
P004372,1,13/1/2022,U08020
P002044,3,14/10/2022,U03423
P002540,3,14/5/2023,U03298
P004283,3,26/6/2022,U04258
P000090,3,24/8/2023,U05856
P002696,2,18/9/2023,U02605
P001576,5,7/1/2023,U08954
P004599,1,27/7/2023,U05338
P004287,5,3/10/2023,U02794
P004410,2,19/12/2022,U06777
P002552,5,23/4/2022,U07485
P002648,2,21/5/2023,U09988
P000738,3,13/10/2023,U04610
P005035,3,20/6/2022,U05461
P000576,4,27/5/2023,U07196
P003026,3,28/8/2023,U06095
P002396,5,23/11/2022,U08606
P004122,5,13/6/2023,U04607
P003076,2,20/3/2022,U07101
P003573,4,28/9/2022,U07484
P002141,4,5/5/2022,U02909
P002580,2,2/9/2022,U02855
P004953,4,27/1/2022,U06319
P004152,3,5/2/2022,U07601
P005020,2,21/3/2022,U09069
P000810,5,16/1/2023,U00114
P001974,5,27/4/2022,U04496
P005171,4,15/5/2023,U04565
P003175,4,13/6/2023,U06166
P001391,2,29/6/2022,U05251
P003787,3,2/1/2022,U08855
P003852,4,2/7/2022,U00703
P001840,3,4/1/2022,U04764
P004906,2,16/2/2023,U06625
P001664,2,14/5/2023,U06018
P001093,5,7/4/2022,U08173
P000255,4,1/7/2022,U06965
P002570,5,28/2/2022,U05799
P002072,4,29/8/2022,U03367
P002682,2,17/8/2023,U06738
P001916,4,15/4/2023,U00921
P000301,5,23/12/2022,U09771
P005115,3,9/8/2023,U01340
P004290,3,26/7/2022,U01185
P002814,1,14/1/2022,U07853
P000549,4,28/12/2022,U08020
P003513,4,11/3/2022,U05164
P002218,4,29/11/2022,U06276
P004472,4,3/9/2022,U03878
P000394,3,13/4/2023,U05270
P003576,1,21/10/2023,U05289
P000721,4,12/1/2022,U07392
P003971,5,17/1/2023,U01659
P001068,1,29/10/2023,U03989
P001362,5,15/6/2023,U09418
P003506,5,31/3/2023,U06511
P000816,5,18/1/2022,U02325
P003909,3,8/7/2023,U05533
P004918,3,26/3/2023,U04654
P001490,1,22/8/2022,U06901
P002545,5,1/1/2022,U06339
P000431,1,18/11/2022,U02356
P005100,5,21/10/2023,U00054
P002814,1,15/6/2022,U03535
P001032,1,27/12/2022,U02144
P000863,5,13/7/2022,U02287
P002978,1,13/4/2022,U08082
P003573,1,5/8/2022,U01973
P003328,5,25/3/2023,U04346
P003062,2,8/12/2022,U07580
P003617,4,31/8/2023,U07984
P001122,2,23/10/2023,U08839
P000208,3,5/1/2023,U00064
P003948,4,7/1/2023,U00845
P001548,2,29/10/2022,U00698
P000861,5,14/8/2023,U00915
P004171,1,28/5/2023,U01945
P004816,1,24/3/2023,U05942
P001852,2,9/2/2023,U07729
P001814,3,7/1/2022,U00991
P002328,5,4/6/2022,U09089
P004679,5,7/12/2022,U07509
P001718,5,7/10/2023,U08819
P005116,2,26/11/2022,U01582
P001674,5,2/10/2023,U01828
P004243,3,5/1/2022,U09578
P001032,1,2/2/2022,U02311
P004868,2,15/6/2022,U01113
P003722,4,2/8/2023,U04212
P004249,2,1/3/2023,U06967
P002100,2,21/5/2022,U02724
P001595,4,6/10/2022,U06975
P000446,5,1/1/2023,U04270
P001754,1,8/7/2022,U08611
P000417,2,11/8/2023,U00078
P001886,1,22/9/2023,U09143
P004676,2,8/6/2022,U05999
P000202,1,11/5/2022,U02023
P003469,4,2/1/2023,U09283
P002484,3,14/11/2022,U04526
P003389,1,14/5/2023,U00321
P005181,4,11/2/2022,U03869
P000704,3,1/5/2023,U00962
P001365,5,27/4/2023,U08976
P002402,5,19/1/2023,U03496
P000470,2,7/6/2023,U08142
P000244,1,11/10/2022,U05635
P003184,3,6/6/2022,U08748
P004349,4,28/3/2022,U06243
P001246,3,30/6/2022,U03900
P002601,5,3/5/2023,U05364
P000032,5,28/7/2023,U07445
P001612,1,5/3/2022,U02654
P004360,3,14/8/2022,U01794
P000370,5,10/7/2023,U01906
P003822,2,6/3/2023,U09675
P002467,4,27/9/2023,U05204
P004532,4,12/10/2023,U08501
P001712,2,5/7/2022,U02942
P004849,5,6/8/2022,U08602
P000024,4,23/7/2022,U03168
P003147,2,26/2/2023,U04040
P002972,2,17/3/2023,U02646
P000397,1,15/1/2022,U05049
P002031,4,31/12/2022,U03960
P002490,4,21/4/2023,U08777
P003458,1,2/3/2023,U00795
P004501,2,21/9/2022,U09871
P004412,5,8/4/2022,U09510
P000085,1,14/7/2022,U06528
P002038,3,6/7/2023,U03713
P004726,3,18/10/2022,U06501
P000861,4,6/6/2022,U01608
P004870,2,25/4/2023,U04515
P001520,1,12/11/2022,U04422
P003538,2,5/11/2022,U04990
P001207,1,23/1/2023,U08547
P000151,4,23/9/2022,U05899
P002663,3,8/8/2023,U03682
P000238,4,23/1/2022,U04829
P004614,2,17/7/2022,U06862
P004057,5,31/12/2022,U00368
P005056,3,30/1/2023,U02829
P005122,5,28/9/2022,U07784
P000708,1,11/6/2023,U06269
P001875,4,31/5/2022,U01182
P004536,5,13/9/2023,U01009
P000858,3,25/2/2023,U01221
P005062,4,31/7/2023,U00471
P001076,4,25/3/2022,U07819
P004737,1,14/2/2022,U06713
P005006,4,28/2/2022,U01704
P000271,1,15/9/2023,U05503
P003181,5,4/6/2022,U03056
P003837,4,17/11/2022,U09092
P000791,4,2/3/2022,U09082
P001058,4,9/6/2022,U08929
P002504,4,3/12/2022,U01799
P001222,2,24/3/2022,U00497
P003879,4,9/6/2022,U07744
P000366,3,19/4/2023,U01901
P003559,5,28/7/2022,U05985
P001653,3,18/7/2022,U02030
P003672,3,23/1/2023,U09249
P001244,4,4/5/2022,U08976
P002768,3,18/3/2022,U05777
P001189,5,4/2/2022,U03878
P002922,5,25/3/2022,U07186
P001054,5,3/3/2022,U02229
P004943,4,3/9/2022,U09239
P005117,2,12/2/2023,U09267
P002907,4,4/1/2022,U08074
P004396,5,10/7/2023,U06628
P003412,5,30/9/2022,U05821
P004805,2,5/3/2023,U06772
P000737,4,21/8/2022,U00288
P004371,4,2/6/2023,U03411
P004500,2,12/9/2023,U01013
P003558,2,9/7/2023,U05376
P000211,3,27/1/2022,U05703
P003066,4,17/11/2022,U02884
P004437,5,7/4/2022,U06954
P003973,3,15/2/2022,U00660
P001082,4,4/8/2022,U07598
P004718,4,4/12/2022,U04990
P004923,5,22/11/2022,U01021
P004107,5,5/9/2023,U05070
P001451,5,10/7/2023,U08303
P003765,5,21/2/2022,U04264
P003027,5,8/8/2023,U01309
P004710,4,21/12/2022,U07896
P000585,4,16/8/2022,U09254
P000972,3,12/9/2022,U03310
P000515,5,21/4/2022,U03239
P003983,4,6/7/2023,U01446
P003827,1,3/11/2022,U09095
P000337,2,9/12/2022,U09575
P004439,3,3/10/2023,U09995
P001075,2,24/4/2023,U09439
P003159,1,15/9/2022,U08327
P003751,3,2/9/2023,U01960
P002864,1,13/2/2022,U08390
P001232,2,7/1/2023,U09570
P000001,1,28/4/2023,U00614
P002837,3,11/1/2023,U09521
P001403,2,9/4/2023,U02487
P003288,3,15/8/2023,U00549
P001569,4,30/9/2022,U08922
P002713,3,21/9/2023,U00557
P003981,5,26/4/2022,U08996
P000064,3,24/7/2023,U01188
P004968,2,22/11/2022,U00525
P004379,1,22/4/2023,U06772
P004693,1,12/8/2022,U08783
P003913,5,21/8/2023,U04181
P004396,4,17/3/2023,U08008
P001820,1,8/2/2023,U00255
P003048,3,9/5/2022,U08526
P003501,4,13/8/2023,U01377
P003334,1,11/6/2023,U01665
P002512,5,23/9/2022,U03333
P003086,2,21/6/2022,U09600
P002209,4,17/11/2022,U01913
P002135,1,28/3/2022,U09199
P001314,2,2/3/2023,U00377
P000494,2,10/2/2022,U01496
P004391,1,10/10/2022,U01453
P001968,4,18/8/2023,U07105
P001595,1,17/5/2022,U05587
P003516,3,16/3/2023,U03056
P000095,1,17/9/2023,U08028
P004030,5,25/3/2023,U06630
P002704,1,1/11/2022,U09985
P004830,4,6/6/2023,U04142
P003206,3,30/8/2022,U09404
P005200,5,23/4/2022,U08718
P004411,2,19/10/2022,U04443
P004638,5,24/5/2022,U00050
P001958,2,2/6/2022,U07081
P000725,1,6/5/2023,U09417
P005191,3,22/9/2023,U05070
P004322,4,5/3/2022,U03555
P002926,5,28/10/2023,U05317
P000803,1,8/1/2022,U09491
P004302,3,20/5/2022,U07643
P003588,2,7/3/2022,U07046
P000308,2,13/4/2023,U08787
P003219,1,30/8/2023,U03076
P001491,2,3/3/2023,U01213
P001244,5,2/6/2022,U09630
P004009,5,10/9/2023,U03563
P001441,3,2/11/2022,U08522
P002302,1,24/12/2022,U04515
P000202,2,8/1/2023,U00421
P004393,1,18/5/2022,U04248
P005176,3,3/5/2022,U08842
P001743,3,26/2/2023,U00233
P001778,4,19/6/2022,U00473
P002754,4,21/11/2022,U06799
P004017,1,17/1/2023,U00303
P004483,4,25/8/2022,U00797
P002493,1,12/2/2023,U04761
P001797,4,9/9/2023,U06698
P000645,3,15/4/2023,U07968
P002491,3,18/5/2023,U09667
P002966,5,10/6/2022,U07656
P004437,2,1/6/2022,U04039
P000879,5,25/11/2022,U00040
P003105,5,14/2/2022,U00488
P002838,4,4/6/2023,U02813
P002915,4,13/3/2022,U01902
P004498,2,20/4/2022,U00688
P001057,5,14/7/2022,U07253
P001815,4,26/2/2023,U00534
P000800,5,4/3/2022,U03502
P003839,5,15/7/2023,U04093
P000512,3,31/12/2022,U02839
P003618,5,4/1/2023,U09330
P000491,2,18/4/2022,U04422
P002925,2,26/10/2023,U01522
P001640,4,31/3/2022,U00155
P003367,4,25/4/2022,U04003
P000156,3,13/10/2022,U02425
P004674,1,8/9/2023,U01537
P004239,5,2/10/2023,U01113
P003535,5,1/1/2022,U05274
P004658,2,13/3/2023,U04887
P004529,1,17/2/2023,U09884
P005132,5,4/1/2022,U03845
P002384,4,22/6/2022,U07073
P002964,4,13/5/2022,U07102
P002753,2,4/10/2023,U07650
P001889,3,20/9/2023,U07903
P000255,1,5/4/2023,U02320
P003446,4,9/11/2022,U02765
P004476,2,2/2/2023,U05463
P002296,1,3/11/2022,U04292
P003140,1,15/12/2022,U04204
P000590,1,23/1/2022,U00408
P003859,1,17/10/2022,U02516
P004780,2,14/3/2022,U08822
P005006,3,11/9/2022,U04502
P002305,3,23/7/2022,U00375
P000811,5,5/1/2023,U07818
P003920,5,5/8/2023,U09400
P001406,2,26/5/2023,U08959
P004425,2,16/2/2022,U00667
P005161,5,15/11/2022,U01459
P004644,3,23/11/2022,U07214
P003379,4,18/4/2023,U02400
P004806,5,18/1/2022,U04949
P001191,4,23/4/2023,U09464
P002335,4,13/11/2022,U08082
P005094,4,11/11/2022,U03189
P002474,4,30/8/2023,U07343
P003400,3,25/1/2023,U08117
P004128,4,21/3/2023,U03134
P003345,5,28/5/2022,U00151
P000149,1,21/9/2022,U06116
P003377,1,16/11/2022,U01515
P002672,3,30/5/2023,U04435
P005185,1,11/1/2022,U07006
P004496,4,24/6/2022,U03756
P005123,5,12/12/2022,U07062
P001288,5,12/8/2022,U01969
P004064,5,15/5/2022,U09578
P002408,4,2/7/2022,U00580
P002519,5,28/11/2022,U04009
P001155,2,13/2/2023,U02604
P002393,1,12/1/2022,U05029
P003944,1,29/5/2022,U02748
P000079,3,4/3/2022,U01963
P003214,5,30/6/2023,U03339
P003981,4,5/2/2022,U09499
P002083,5,10/1/2022,U08888
P002938,3,24/3/2022,U07808
P002391,2,9/5/2022,U03515
P000178,2,27/6/2022,U07310
P000868,5,6/2/2023,U09966
P000637,2,12/7/2023,U04413
P002710,5,22/8/2023,U01706
P004332,4,22/3/2023,U06090
P004069,3,6/4/2022,U02709
P000798,1,3/9/2023,U04772
P001072,2,10/2/2022,U05702
P002778,1,2/2/2022,U04748
P000009,4,16/2/2023,U07466
P003059,5,20/7/2023,U03107
P003529,3,15/4/2023,U00413
P001279,4,15/3/2023,U05997
P004950,4,5/8/2022,U04298
P000267,4,27/7/2022,U03680
P002709,1,4/10/2023,U02741
P005081,1,8/5/2022,U07604
P000324,4,17/9/2023,U01574
P003438,1,18/9/2022,U00538
P001483,2,31/12/2022,U08005
P003549,2,21/3/2022,U07724
P000967,5,16/6/2023,U05338
P000947,5,3/5/2023,U03911
P003891,3,26/10/2023,U09995
P002977,2,18/5/2023,U01305
P001068,5,17/7/2022,U06716
P002648,1,8/4/2023,U08994
P005176,4,20/6/2022,U04330
P002103,2,9/7/2023,U06812
P001855,2,12/4/2022,U06401
P004568,1,31/7/2023,U05966
P002030,4,19/9/2023,U06851
P000614,5,19/10/2022,U07841
P002590,4,26/12/2022,U02167
P004538,1,20/12/2022,U06609
P001512,1,13/10/2022,U03027
P004452,5,25/1/2022,U01568
P004774,5,12/4/2023,U04819
P004775,1,16/2/2023,U00385
P004495,1,13/5/2022,U02369
P001393,4,20/7/2022,U08216
P001842,3,18/9/2022,U00724
P002905,3,29/3/2022,U04847
P003377,5,12/9/2022,U03817
P002921,2,22/8/2023,U07881
P001298,5,23/1/2023,U02766
P000255,4,17/2/2022,U09616
P000771,4,25/2/2022,U02254
P004024,1,11/4/2023,U01290
P005109,4,9/5/2023,U02479
P002168,1,1/1/2022,U04141
P000113,5,29/9/2022,U04602
P001876,3,17/12/2022,U08474
P004930,4,26/3/2023,U04197
P001340,1,5/1/2023,U05238
P004241,1,5/3/2023,U01617
P001206,2,4/6/2023,U05128
P005127,4,20/1/2023,U04644
P003954,1,22/5/2023,U05543
P001122,1,13/7/2022,U00219
P001757,3,20/4/2023,U00039
P003065,3,20/12/2022,U09789
P000602,3,15/11/2022,U00382
P000527,2,22/8/2022,U04939
P003964,4,26/2/2023,U04080
P003420,4,1/11/2022,U05597
P003907,2,6/11/2022,U02056
P000943,4,18/2/2022,U01782
P002553,5,18/3/2022,U00974
P002504,1,2/2/2022,U08506
P002561,1,22/9/2022,U08748
P000687,1,3/12/2022,U07003
P004014,2,22/9/2023,U03805
P003532,2,9/8/2023,U06740
P001429,1,14/4/2022,U04963
P005160,4,15/3/2023,U07515
P004602,4,3/1/2023,U05606
P004749,2,15/9/2023,U06647
P000074,1,23/1/2022,U01823
P001441,2,16/3/2023,U07022
P003525,4,22/6/2023,U09512
P001248,4,15/10/2023,U08206
P001822,1,15/2/2022,U02425
P005167,1,17/8/2023,U06918
