Name,Rating,Address,URL,Price,Type,Phone,Cousine
Restoran Fatt Kee,4.0 ,"Jalan Seremban Junction at Giant Lukut State Road 53, Port Dickson 71010 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-662 5949,"Dinner, Lunch"
Aden Restoran,4.5 ,"No 61 Jalan mahajaya Kawasan penambakkan laut No 61, Port Dickson 71000 Malaysia",http://www.facebook.com/ADENRESTORAN/,$$ - $$$,$$ - $$$Middle EasternVegetarian FriendlyHalal,+60 12-267 0411,Middle Eastern
Hao Kee Seafood Restaurant,4.5 ,"No.25, Taman Mikamas, Port Dickson 71000 Malaysia",https://www.facebook.com/Hao-kee-seafood-restuarant-%E8%B1%AA%E8%AE%B0%E6%B5%B7%E9%B2%9C%E9%A4%90%E9%A6%86-200089416680485/,$,$ChineseSeafoodAsian,,"Chinese, Seafood, Asian, Malaysian"
Kim's Seafood Palace,3.5 ,"71000 Port Dickson, Port Dickson 71000 Malaysia",http://www.facebook.com/pages/Restoran-Kims-Seafood-Palace/280074182040201,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 6-646 2828,Halal
KR Mani Curry House,4.0 ,"No 24 Jalan Seremban, Port Dickson 71000 Malaysia",,$$ - $$$,$$ - $$$IndianAsianMalaysian,+60 6-651 5996,"Vegetarian Friendly, Vegan Options, Halal"
Restoran Yun Long Seafood,3.5 ,"Jalan Pantai Batu 6, Hoon Leong Temple, Port Dickson 71050 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 6-662 1032,"Lunch, Dinner"
Restoring Warinee Tom Yam,4.0 ,"Jalan Kampung Air Meleleh, Port Dickson Malaysia",,$$ - $$$,$$ - $$$AsianThaiVegetarian Friendly,,"Vegetarian Friendly, Vegan Options"
Warung Salai,4.0 ,"Taman Mewah, Port Dickson 71000 Malaysia",,Asian,AsianMalaysianHalal,+60 12-620 4245,Halal
Cowboy Place,3.5 ,"Lot 1360 6 Jalan Pantai, Port Dickson 71000 Malaysia",http://www.facebook.com/Cowboy-Place-Nasi-kukus-ayam-panggang-199565190078455/,$,$BarbecueAsianMalaysian,+60 19-308 8302,Halal
Pd Famous Cendol Coconut Shake Power,4.0 ,"Kampung Teluk Kemang, Port Dickson 71050 Malaysia",,$,$AsianMalaysianHalal,+60 11-2838 3885,Halal
Burger King,4.0 ,"59-60 Ground Floor, Jalan DS 2/1 Bandar Dataran Segar, Lukut, Port Dickson 71010 Malaysia",,$,$AmericanFast food,+60 6-651 2170,"American, Fast food"
Ming Tai Restaurant,4.5 ,"538, Jalan Pasar, Sungai Pelek 43950 Malaysia",,$,$Chinese,+60 10-770 6066,
"Chinoise, Thistle Hotel",4.0 ,"Thistle Resort and Spa, Port Dickson Malaysia",,$$ - $$$,$$ - $$$ChineseAsianCantonese,,"Dinner, Lunch"
Sura Korean Restaurant,4.5 ,"PD Water Front, Port Dickson 71000 Malaysia",,$$ - $$$,$$ - $$$AsianKoreanVegetarian Friendly,+60 6-646 2250,Vegetarian Friendly
Gim Men Teppanyaki,3.5 ,"103 Kg Arab, Port Dickson 71000 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,6474271,"Lunch, Dinner"
Xiwang Seafood Village Restaurant,3.5 ,"Lot 112 Batu 6 3/4, Port Dickson 71050 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-292 6219,"Lunch, Breakfast, Dinner, Brunch, Drinks"
Roselle Coffee House,4.0 ,"Lexis Hibiscus, Port Dickson 71250 Malaysia",,$$ - $$$,$$ - $$$SouthwesternAsianMalaysian,+60 6-660 2626,Vegetarian Friendly
Restoran Port Dickson,3.5 ,"Jalan Pantai, Port Dickson 71050 Malaysia",,$$ - $$$,$$ - $$$ChineseAsian,+60 12-638 8286,"Lunch, Dinner, Breakfast"
