poiID,poiType,poiName,poiAddress,poiLocation,poiUrl,poiPriceRange,poiPrice,poiPhone,poiTag,poiOperatingHours,poiRating,poiNoOfReviews,poiDescription
P000996,Restaurant,East Ocean Seafood Restaurant,"No 1-7 Hala Perusahaan Menglembu 17, Ipoh 31450 Malaysia",,https://www.facebook.com/pages/East-Ocean-Seafood-Restaurant-Menglembu-%E4%B8%9C%E6%B5%B7%E9%B1%BC%E7%BF%85%E9%85%92%E5%AE%B6%E4%B8%87%E9%87%8C%E6%9C%9B/150052651674409,$$ - $$$,40,+60 5-282 9457,"Chinese, Seafood, Asian, Dinner, Lunch",,4.5†,3059,
P000997,Restaurant,Vegan Delights,"Jalan Kampar, Ipoh 30250 Malaysia",,https://www.facebook.com/VeganDelightsCafe/,$$ - $$$,60,+60 12-405 9672,"Italian, Chinese, Cafe, Vegetarian Friendly, Vegan Options",,4.5†,1388,
P000998,Restaurant,Indulgence Restaurant,"14 Jalan Raja Dihilir, Ipoh 30350 Malaysia",,http://www.facebook.com/Indulgence-Restaurant-Living-123354367728999/?ref=page_internal,$$$$,140,+60 5-255 7051,"European, Contemporary, Vegetarian Friendly",,3.5†,180,
P000999,Restaurant,Patisserie Boutique,"103 Jalan Sultan Yusuff, Ipoh 30000 Malaysia",,http://facebook.com/Patisserie.BoutiQue,$$ - $$$,70,+60 5-241 1385,"Dessert, Cafe, Fusion",,4.0†,651,
P001000,Restaurant,Restoran Assam House,"Greentown Business Center, 30450 Ipoh, Perak, Malaysia. No. 29 Persiaran Greentown 4 New town, Ipoh 30450 Malaysia",,http://assamhousegreentownipoh.simplesite.com/,$$ - $$$,40,+60 5-243 7851,"Chinese, Asian, Malaysian, Halal, Vegetarian Friendly",,4.0†,3045,
P001001,Restaurant,Restoran Hong Kong Dim Sum BFB,"61 Persiaran Bandar Baru Tambun 16 Taman Ipoh Impish, Ipoh 31400 Malaysia",,,$,10,+60 10-220 3812,"Chinese, Asian, Cantonese, Breakfast, Lunch",,4.5†,3223,
P001002,Restaurant,Restoran Mun Choong S/B,"Ipoh, Perak, Malaysia 511-517 Jalan Pasir Puteh, Ipoh 31650 Malaysia",,,$$ - $$$,70,+60 5-321 2815,"Chinese, Seafood, Asian, Vegetarian Friendly",,4.5†,4272,
P001003,Restaurant,Morel,"A-g-12a, Soho Ipoh Jalan Sultan Iskandar, Ipoh 30000 Malaysia",,http://www.facebook.com/MOREL-Restaurant-169214653815418,$$ - $$$,50,+60 10-928 7291,"Italian, European, Fusion, Vegetarian Friendly",,4.5†,1695,
P001004,Restaurant,Vintage Cafe,"21 Jalan Market, Ipoh 30000 Malaysia",,http://www.facebook.com/vintagecafeipoh,$$ - $$$,70,+60 5-241 4955,"Bar, Pizza, Cafe, European, Diner",,4.0†,265,
P001005,Restaurant,Old Town White Coffee,"Jalan Greentown Suite 2 and 2A, Ipoh 30450 Malaysia",,http://www.oldtown.com.my/,$$ - $$$,70,+60 5-253 9876,"Cafe, Asian, Malaysian, Lunch, Dinner, Brunch",,3.5†,4197,
P001006,Restaurant,Breda Cafe,"22, Jalan Medan Ipoh 9, Bandar Baru Medan (10,388.68 km), Ipoh 31400 Malaysia",,http://www.facebook.com/bredacafe,$,20,+60 11-5622 3182,"Italian, American, Cafe, British, Soups",,5.0†,1400,
P001007,Restaurant,Atapas Restaurant,"42A Lorong Cheah Cheang Lim 42a, Ipoh 30350 Malaysia",,http://web.facebook.com/atapastastings,$$$$,120,+60 17-558 8897,"Italian, European, Asian, Lunch, Dinner, Drinks",,5.0†,858,
P001008,Restaurant,Restoran Nasi Ayam Pak Kong,"27 Jalan Theatre, Ipoh 30300 Malaysia",,,$,10,+60 12-588 6618,"Chinese, Asian, Malaysian, Lunch",,4.0†,2575,
P001009,Restaurant,Atas Speakeasy,"183A Jalan Sultan Idris Shah Taman Jubilee, Ipoh 30000 Malaysia",,,$$ - $$$,70,+60 12-778 7365,Drinks,,4.5†,3996,
P001010,Restaurant,Cafe de Eight,"8 Jalan Koo Chong Kong, Ipoh 30000 Malaysia",,http://www.facebook.com/cafedeeight,$$ - $$$,40,+60 5-241 2758,"Dessert, Cafe",,4.5†,3994,
P001011,Restaurant,Sri Ananda Bhavan,"Restaurant Sri Ananda Bahwan, Ipoh 30000 Malaysia",,http://www.srianandabahwan.com.my/,$,10,012-477-5981-05-253-9798,"Indian, Asian, Vegetarian Friendly, Vegan Options",,4.0†,4209,
P001012,Restaurant,Restoran SSF,"18 Hala Datoh 5 off Jalan Leong Boon Swee, Ipoh 30000 Malaysia",,http://www.facebook.com/pg/Restoran-SSF-%E6%80%A1%E4%BF%9D%E6%96%B0%E6%88%90%E5%8F%91-147025301980614/about/?ref=page_internal,$,10,+60 12-507 3536,"Chinese, Asian, Breakfast, Lunch",,4.5†,79,
P001013,Restaurant,Restoran M Salim,"cnr Jln Che Tak & Jln Yang Kalsom New town, Ipoh Malaysia",,,$,20,+60 5-255 5786,"Indian, Asian, Malaysian, Halal",,4.0†,685,
P001014,Restaurant,Wing Zone Ipoh,"20 Persiaran Greentown 1 Greentown Business Center, Ipoh 30450 Malaysia",,https://wingzone.com.my/,$$ - $$$,60,+605 246 0687,"American, Lunch, Dinner, Brunch, After-hours",,4.0†,2555,
P001015,Restaurant,Tuck Kee Restaurant Sdn. Bhd.,"1 Persiaran Tokong Pasir Pinji,, Ipoh 31650 Malaysia",,http://www.j2kfm.com/tuck-kee-fried-noodles-wat-tan-hor-ipoh,$$ - $$$,100,+60 5-254 1906,"Chinese, Asian, Cantonese, Lunch, Dinner",,3.5†,2165,
P001016,Restaurant,Pick A Pot Bak Kut Teh,"3 Jalan Centrepoint 2 Pinji Centrepoint, Ipoh 31650 Malaysia",,http://www.facebook.com/pickapot416,$$ - $$$,100,+60 12-252 5488,"Chinese, Asian, Contemporary, Fusion, Malaysian, Soups",,5.0†,4139,
P001017,Restaurant,Sun Kok Kee dim sum,"7-11 Persiaran Bercham timur 1 7-11, Persiaran Bercham Timur 1, Taman Bercham Baru, Ipoh, Kinta District, Perak, Ipoh 31400 Malaysia",,http://www.facebook.com/sunkokkee,$$ - $$$,50,+60 10-880 5805,"Chinese, Asian, Cantonese, Lunch, Brunch, Breakfast",,4.0†,2118,
P001018,Restaurant,Restoran Moon De Moon,"148 Hala Wah Keong Taman Mirindi, Ipoh 31400 Malaysia",,,$,10,+60 12-516 0485,"Asian, Malaysian, Breakfast, Brunch",,4.0†,3461,
P001019,Restaurant,Curry Keng,"15 & 15A, Hala Pasar Baru, Ipoh 30300 Malaysia",,,$,10,+60 12-528 3839,"Chinese, Asian, Malaysian, Vegetarian Friendly",,4.5†,4298,
P001020,Restaurant,The Limestone's Fine Dining,"131 Ground Floor Jalan Raja Ekram,, Ipoh 30450 Malaysia",,http://www.regalodge.com.my/thelimestones,$$$$,120,+60 5-242 3241,"Seafood, European",,4.0†,3007,
P001021,Restaurant,Fu Tien Vegetarian Restaurant,"Medan Ipoh Bistari (at opposite 34 Jalan Medan, Ipoh 30200 Malaysia",,,$$ - $$$,60,,"Sushi, Asian, Malaysian, Vegetarian Friendly, Vegan Options",,4.5†,85,
P001022,Restaurant,Black Canyon Coffee Restaurant,"Lembah Kinta Lot G29, Ground Floor, AEON Mall Kinta City, Ipoh 31400 Malaysia",,http://blackcanyon.com.my/,$$ - $$$,100,+60 5-546 0329,"Cafe, Asian, Thai, Vegetarian Friendly, Halal",,4.0†,94,
P001023,Restaurant,Kedai Makanan Rasa Lain,"69 Persiaran Medan Bercham 2 Pusat Bandar Baru Bercham, Ipoh 31400 Malaysia",,http://www.facebook.com/LondonFoodsousse/,$$ - $$$,80,+60 12-512 8407,"Chinese, Seafood, Asian, Dinner",,4.0†,4411,
P001024,Restaurant,Koh Samui,"83/85 Jalan Raja Ekram, Ipoh Malaysia",,,$$ - $$$,70,,"Asian, Thai, Vegetarian Friendly, Halal",,4.0†,3073,
P001025,Restaurant,Petit Mary Patisserie,"No. 83 Jalan Langsat Taman Teh Teng Seng, Ipoh 31400 Malaysia",,http://www.facebook.com/Petit-Mary-Patisserie-401512793359482/,$$ - $$$,90,60 5-547 1328,"Bakeries, Cafe, European, Vegetarian Friendly",,4.0†,3588,
P001026,Restaurant,Restoran Sin Lean Lee,"Jalan Bandar Timah 21 Jalan Panglima, Ipoh 30000 Malaysia",,http://www.facebook.com/pages/Sin-Lean-Lee-Restaurant/275522959245462,$,20,+60 5-243 4402,"Asian, Malaysian, Breakfast, Brunch",,4.5†,3921,
P001027,Restaurant,Restoran Chooi Yue Dim Sum,"2 Tingkat Taman Ipoh, Ipoh 31400 Malaysia",,https://www.facebook.com/ChooiYueDimSum,$$ - $$$,50,+60 16-534 5965,"Chinese, Asian, Cantonese, Breakfast, Brunch, Lunch",,3.5†,2244,
P001028,Restaurant,Crabtain Hook Restaurant,"Lot 15,Jalan Lapangan Symphony,Symphony Business Park, Ipoh 31350 Malaysia",,http://www.facebook.com/CrabtainHook/,$$ - $$$,60,+60 19-410 8257,"Seafood, Thai",,4.5†,381,
P001029,Restaurant,Chang Jiang White Coffee Cafe,"No. D2-19, Jalan Dutamas 2, Ipoh 30250 Malaysia",,http://www.cjcoffee.com/,$$ - $$$,40,+60 5-253 8896,"Cafe, Breakfast, Brunch, Lunch",,4.0†,3225,
P001030,Restaurant,Crazy Ice Cream & Salad House,"No. 39 Persiaran Green Hill, Ipoh 30450 Malaysia",,https://www.facebook.com/CrazyIceCreamHouse/,$$ - $$$,70,+60 17-552 5338,"Dessert, Chinese, Steakhouse, Asian, Healthy, Diner, Malaysian",,4.0†,1082,
P001031,Restaurant,Briyani King,"No 57-59 Jalan Laxamana, Ipoh 30300 Malaysia",,http://briyaniking.com/,$,20,+60 11-3330 1008,"Indian, Asian, Malaysian",,4.5†,2308,
P001032,Restaurant,Euro House,"49-51 Jalan Hussein, Ipoh 30250 Malaysia",,,$$ - $$$,50,60 5-255 5532,"Bar, European, Pub",,4.0†,447,
P001033,Restaurant,Nasi Ayam Stadium,"35 Jalan Pengkalan 1 Taman Pengkalan Utama, Ipoh 31650 Malaysia",,http://www.facebook.com/Nasi-Ayam-Stadium-Ipoh-Pengkalan-367868287025614/,$,10,+60 19-450 9478,"Asian, Healthy, Malaysian",,5.0†,2543,
P001034,Restaurant,Lai Kee Soya,"57 Jalan Theatre, Ipoh 30300 Malaysia",,,$$,40,+60 16-531 1118,"Dessert, Chinese, Malaysian",,5.0†,2039,
P001035,Restaurant,Konda Kondi Cafe And Bistro,"183 Jalan Sultan Idris Shah, Ipoh 30000 Malaysia",,,$$ - $$$,60,+60 14-308 2321,"Southwestern, Asian, Malaysian, Halal",,4.0†,962,
P001036,Restaurant,Maria's Steak Cafe,"60 Persiaran Greentown Greentown Business Centre,, Ipoh 30450 Malaysia",,http://www.marias.com.my/,$$ - $$$,40,+60 5-242 4133,"Steakhouse, Dinner",,4.0†,1907,
P001037,Restaurant,Sun Lee How Fook,"No. 96 Jalan Kampar Malaysia., Ipoh Malaysia",,,$$ - $$$,70,6052411468,"Chinese, Asian, Cantonese, Dinner, Lunch",,4.0†,3512,
P001038,Restaurant,Restoran Choong Kee Pokok Besar,"1213 Jalan King, Ipoh 31650 Malaysia",,https://www.facebook.com/%E5%BF%A0%E8%AE%B0%E5%85%B5%E5%A6%82%E6%B8%AF%E5%8F%A3%E5%A4%A7%E6%A0%91%E5%A4%B4%E7%82%B8%E6%96%99%E7%B2%89%E7%BE%8E%E9%A3%9F%E8%BD%A9%E6%80%BB%E5%BA%97%E6%97%A7%E5%BA%97%E9%9A%94%E5%A3%81-768817799838993/,$,10,+60 5-241 1993,"Chinese, Cafe, Asian, Brunch, Lunch",,4.0†,3382,
P001039,Restaurant,Hoong Tho Restaurant,"20 Jalan Bandar Timah, Ipoh 30000 Malaysia",,http://www.facebook.com/ARASTA-CAFE-RESTORANT-2223570284431026/,$$ - $$$,80,+60 5-254 9673,"Chinese, Asian, Cantonese, Lunch, Dinner",,4.0†,299,
P001040,Restaurant,La Formule Bistro,"17 & 19 Lapangan Symphony Business Park Jala Raja Dr. Nazrin Shah, Ipoh 31350 Malaysia",,http://la-formule-bistro.business.site/,$$ - $$$,70,+60 5-318 2298,French,,5.0†,957,
P001041,Restaurant,Restoran Nam Chau,"54 Jalan Bandar Timah, Ipoh 30000 Malaysia",,https://www.facebook.com/namchauwhitecoffe/,$,20,+60 12-462 5223,"Chinese, Breakfast, Lunch, Brunch",,4.0†,1258,
P001042,Restaurant,Tamara‚Äôs,"36 Persiaran Greenhill, Ipoh Malaysia",,https://www.facebook.com/tamarasipoh/,$,20,+60 12-642 8821,"Indian, Asian, Sri Lankan, Dinner",,4.0†,2014,
P001043,Restaurant,Zakka Loft,"No. 2 Jalan Medan Ipoh 1C Medan Ipoh Bistari, Ipoh 31400 Malaysia",,http://www.facebook.com/zakkaloft,$$ - $$$,100,+60 13-525 3591,"Dessert, Cafe, Lunch, Dinner, After-hours, Drinks",,4.5†,4395,
P001044,Restaurant,Wong Koh Kee Restaurant,"No 3 Lorong Panglima, Ipoh 30000 Malaysia",,http://www.j2kfm.com/ipoh-old-town-wong-koh-kee-concubine-lane/,$$ - $$$,90,+60 5-541 9474,"Chinese, Asian, Cantonese, Lunch, Dinner",,4.0†,1181,
P001045,Restaurant,Genki Japanese Food,"9 Jalan Tun Sambanthan, Ipoh 30000 Malaysia",,https://www.facebook.com/genkijapanfood,$$,20,+60 5-210 8832,"Japanese, Sushi, Japanese Fusion, Dinner, After-hours",,5.0†,3694,
P001046,Restaurant,Zento Sushi,"Medan Ipoh Festival Walk, Ipoh Malaysia",,http://www.facebook.com/ZentoSushi,$$ - $$$,50,6055452966,"Japanese, Sushi, Asian, Vegetarian Friendly, Vegan Options",,4.0†,591,
P001047,Restaurant,Restoran Chef Fatt,"57-59 Jalan Raja Ekram, Ipoh 30450 Malaysia",,,$,20,+60 12-508 9126,"Chinese, Asian, Cantonese, Breakfast, Lunch, Brunch",,4.0†,2079,
P001048,Restaurant,Asow Eatery Station,"Jalan Tambun Baru, Kampung Ampang Baru New Village, PT 188913, Ipoh 31400 Malaysia",,,$$,30,+60 12-510 8399,,,5.0†,954,
P001049,Restaurant,The Deck,"292 Jalan Sultan Idris Shah Weil Hotel, Ipoh 30000 Malaysia",,http://www.weilhotel.com/pages/view/dinning,$$ - $$$,40,+60 5-208 2228,"Bar, Pub, Drinks",,3.5†,4254,
P001050,Restaurant,Mad Ramen Bar,"3 Jalan Panglima, Ipoh 30000 Malaysia",,http://tr.ee/iwyY8kotb5,$,20,6052108866,"Beer, restaurants, Japanese Fusion, Beer restaurants",,5.0†,387,
P001051,Restaurant,Restoran Ipoh Kong Heng,"75 Jalan Bandar Timah, Ipoh 30000 Malaysia",,,$,10,+60 12-593 1303,"Chinese, Asian, Malaysian, Breakfast, Lunch",,4.0†,2823,
P001052,Restaurant,Buntong Bean Sprout Chicken,Ipoh Malaysia,,,$$ - $$$,70,,"Chinese, Asian",,4.0†,970,
P001053,Restaurant,Ding Feng Teow Chew Tau Fu Fa,"8 Lorong Panglima Concubine Lane, Ipoh 30000 Malaysia",,,$$ - $$$,50,+60 12-527 1028,"Dessert, Chinese, Malaysian",,4.0†,4242,
P001054,Restaurant,Onn Kee Restaurant (Tauge Ayam Kue Tiau),"49 Jalan Yau Tet Shin, Ipoh 30300 Malaysia",,http://www.onnkee.com/,$$ - $$$,60,+60 16-443 2090,"Chinese, Lunch, Dinner, After-hours",,3.5†,2985,
P001055,Restaurant,Hong Kee Confectionery Trading,"14 Jalan Dato Onn Jaafar, Ipoh 30300 Malaysia",,,$$,20,+60 17-592 8303,Bakeries,,4.5†,3440,
P001056,Restaurant,Restoran Tauge Ayam Lou Wong,"69, Jalan Bandar Timah, Ipoh Malaysia",,,$,20,+60 16-598 3077,"Chinese, Asian, Malaysian, Lunch, Dinner",,3.5†,3635,
P001057,Restaurant,The Bistro,"18 Jalan Raja Dr Nazrin Shah Impiana Hotel Ipoh, Ipoh 30250 Malaysia",,http://ipohhotels.impiana.com/,$$ - $$$,40,60 (5) 255 5555,"Contemporary, Dinner, After-hours, Drinks",,4.5†,2521,
P001058,Restaurant,Miker Food,"Jalan Padang Dataran Ipoh, Ipoh 30020 Malaysia",,,$$,30,,"French, Mexican, Fast, food, Asian, Halal, Vegetarian Friendly",,4.0†,665,
P001059,Restaurant,Chakori,"35 Jalan Market, Ipoh 30000 Malaysia",,https://www.facebook.com/chakori2,$$,30,+60 16-902 5191,"Dessert, Cafe, Table Service",,4.5†,670,
P001060,Restaurant,Kafe Yoon Wah,"7 Jalan Bijeh Timah, Ipoh 30000 Malaysia",,http://www.facebook.com/sheezanparis/,$$ - $$$,40,+60 5-253 9980,"Chinese, Asian, Seating, Serves Alcohol, Table Service",,3.5†,1653,
P001061,Restaurant,Ipoh Hainan Chicken Rice,"107, Jalan Raja Musa Aziz, Ipoh Malaysia",,,$$ - $$$,80,+60 5-254 5591,"Asian, Malaysian, Halal",,3.5†,75,
P001062,Restaurant,Oversea Restaurant (Haewaytian),"No. 57 Jalan Seenivasagam, Ipoh 30450 Malaysia",,http://www.oversea.com.my/,$$ - $$$,70,+60 5-253 8005,"Chinese, Asian, Cantonese, Lunch, Dinner",,4.0†,2757,
P001063,Restaurant,Ipoh Traditional Style Chee Cheong Fun,"Jalan Dato Tahwil Azhar, Ipoh 30300 Malaysia",,https://www.facebook.com/%E6%B0%B8%E5%AE%89%E5%9B%AD%E7%8C%AA%E8%82%A0%E7%B2%89-Taman-Wing-Onn-Chee-Cheong-Fen-297945727558172/,$,20,+60 17-528 7384,"Chinese, Indian, Asian, Malaysian, Healthy",,4.5†,1532,
P001064,Restaurant,Restaurant Humaira Mughal Kitchen,"No 54 Jalan Seenivasagam Kg Jawa Greentown Ipoh Opp Hotel Excelsior,greentown, Ipoh 30450 Malaysia",,,$,20,+60 11-1509 8379,"Indian, Asian, Middle Eastern, Lunch, Dinner, Drinks",,5.0†,1603,
P001065,Restaurant,Galanggal Cafe,"Jalan Lee Kwee Foh 58 Lorong Cecil Rae Taman Canning, Ipoh 31400 Malaysia",,http://www.galanggal.com/,$$ - $$$,40,+60 19-241 5034,"Fusion, Middle Eastern, Eastern European",,5.0†,2909,
P001066,Restaurant,Old Town Kopitiam,"2 Jalan Tun Sambathan Old Town, Ipoh 30000 Malaysia",,,$$ - $$$,100,,"Cafe, Asian, Malaysian, Breakfast, Dinner",,3.5†,2508,
P001067,Restaurant,"Menate Steak Hub, Ipoh","5 Jalan Dato Seri Ahmad Said, Ipoh 31200 Malaysia",,http://www.facebook.com/menateipoh,$$,20,+60 5-246 1226,"Italian, American, Pizza, Barbecue, Lunch, Dinner, Brunch",,4.0†,62,
P001068,Restaurant,Restoran Simpang Tiga (Medan-Ipoh),"Jalan Dato Seri Ahmad Said, Ipoh 30450 Malaysia",,http://restoransimpangtigaipoh.blogspot.my/?m=1,$$ - $$$,80,+60 5-255 1220,"Asian, Indonesian, Halal",,3.5†,2248,
P001069,Restaurant,Gopeng Antique Kopitiam,"No 3 Jalan Pasar, Gopeng 31600 Malaysia",,http://www.facebook.com/gopengantiquekopitiam/,$$,40,6053593559,"Southwestern, Cafe, Asian, Malaysian, Vegetarian Friendly",,4.0†,2871,
P001070,Restaurant,Restoran Samy,"70 Main Road 32100 Chemor, Chemor 31200 Malaysia",,,$$ - $$$,70,,"Indian, Asian, Malaysian, Vegetarian Friendly, Vegan Options, Halal",,4.0†,296,
P001071,Restaurant,Vegan life restoran,"25 Jalan Medan Ipoh 7, Ipoh 31400 Malaysia",,http://www.facebook.com/veganlife88,$$ - $$$,100,6055415702,"Asian, Malaysian, Vegetarian Friendly, Vegan Options",,4.0†,610,
P001072,Restaurant,Maharaj,"36 Jalan Raja Dr Nazrin Shah, Ipoh 30250 Malaysia",,,$$ - $$$,90,+60 5-243 2515,"Indian, Asian, Vegetarian Friendly, Vegan Options",,3.5†,3173,
P001073,Restaurant,Cun Cun Cafe,"154 Jalan Sultan Idris Shah, Ipoh 31400 Malaysia",,http://goodtyms12345.wixsite.com/cuncuncafe,$,20,+60 5-255 7766,"Chinese, Southwestern, European",,5.0†,2314,
P001074,Restaurant,Sam Ma Chicken Rice Shop,"3 Jalan S.A. Linga Ipoh Garden South, Ipoh 31400 Malaysia",,,$,10,+60 18-577 7282,Table Service,,4.0†,226,
P001075,Restaurant,Restaurant Paris Hakka Mee (Yin Yau Kui),"153, Jalan Sultan Iskandar, Ipoh 30000 Malaysia",,,$,10,+60 16-531 2607,"Chinese, Asian, Malaysian",,3.5†,2346,
P001076,Restaurant,Restoran Makanan Laut Crab House,"32 Laluan Perajurit 1, Ipoh 31400 Malaysia",,,$$ - $$$,70,+60 12-565 7723,"Chinese, Seafood, Reservations",,4.0†,1348,
P001077,Restaurant,Restoran Xin Quan Fang,"174, Jalan Sultan Iskandar, Taman Jubilee, Ipoh 30000 Malaysia",,,$,10,+60 16-531 4193,"Chinese, Malaysian, Breakfast, Lunch",,3.5†,1017,
P001078,Restaurant,David's Diner,"B-G-1, Persiaran Greentown 7 Pusat Perdagangan Greentown, Ipoh 30450 Malaysia",,http://www.facebook.com/davidsdinerr/,$$ - $$$,40,+60 5-242 5733,"American, Lunch, Dinner, Brunch",,4.0†,3485,
P001079,Restaurant,Volcano Grill Caf√©,"31 Jalan Ampang Baru 6B Pusat Perdagangan Ampang Baru, Ipoh 31350 Malaysia",,http://www.facebook.com/volcano.grill.cafe,$$$$,200,+60 11-3140 4800,"Steakhouse, European, Fusion, Dinner",,4.0†,28,
