Name,Rating,Address,URL,Price,Type,Phone,Cousine,Meals
LOKL Coffee Co.,4.5 ,"30 Jalan Tun H S Lee, Kuala Lumpur 50100 Malaysia",http://www.instagram.com/loklcoffee/?hl=en,$$ - $$$,$$ - $$$CafeHealthyVegetarian Friendly,+60 18-968 5515,"Cafe, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options"
BBQ NIGHTS,4.5 ,"Jalan P Ramlee Wisma Rohas PureCircle, Kuala Lumpur 50450 Malaysia",http://www.facebook.com/bbqnightskl,$$ - $$$,$$ - $$$IndianBarbecueAsian,+60 188725768,,
Kin Thai Restaurant,4.5 ,"Taman OUG, 58200 No 66 Jalan Hujan Rahmat 3 Taman Overseas Union Garden, Kuala Lumpur 58200 Malaysia",http://kinthai.my/,$$ - $$$,$$ - $$$SeafoodAsianThai,+60 12-956 3525,"Seafood, Asian, Thai, Soups","Lunch, Dinner, Brunch, Drinks"
Gravybaby Jalan P Ramlee,4.5 ,"12 Jalan P Ramlee, Kuala Lumpur 50250 Malaysia",https://www.gravybaby.com/our-stores/,$$ - $$$,$$ - $$$Fast foodEuropeanDiner,+60 14-357 0424,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch"
Le Bar Cocktails & Stories,5.0 ,"Sofitel Kuala Lumpur Damansara 6 Jalan Damanlela Bukit Damansara, Kuala Lumpur 50490 Malaysia",http://www.sofitel-kualalumpur-damansara.com/restaurants-bars/le-bar/,$$ - $$$,$$ - $$$BarWine BarDining bars,+60 3-2720 6668,"After-hours, Drinks","Reservations, Seating, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Non-smoking restaurants"
JP teres,4.5 ,"12 Jalan Pinang, Kuala Lumpur 50450 Malaysia",http://www.hyatt.com/en-US/hotel/malaysia/grand-hyatt-kuala-lumpur/kuagh/dining,$$ - $$$,$$ - $$$ChineseIndianAsian,+60 3-2203 9188,,
Eat X Dignity Cafe,4.5 ,"25-G, Jalan 11/48a, Sentul Raya Boulevard,, Kuala Lumpur 51000 Malaysia",http://dignityforchildren.org/what-we-do/enterprises/eat-x-dignity,$$ - $$$,$$ - $$$CafeAsianMalaysian,+60 3-2303 1366,"Cafe, Asian, Malaysian","Vegetarian Friendly, Vegan Options, Halal"
Knowhere Bangsar,5.0 ,"50 Jalan Maarof Bangsar, Kuala Lumpur 59100 Malaysia",http://www.knowheretoeat.com/en_MY/,$$ - $$$,$$ - $$$BarInternationalContemporary,+60 10-220 2358,"Bar, International, Contemporary, Fusion","Vegetarian Friendly, Vegan Options"
Tg's Nasi Kandar,4.5 ,"8 Jalan Tengkat Tong Shin Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.facebook.com/tgsnasikandar,$,$IndianAsianMalaysian,+60 11-1055 6435,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, After-hours"
THIRTY8,4.0 ,"12 Jalan Pinang, Kuala Lumpur 50450 Malaysia",http://www.hyatt.com/en-US/hotel/malaysia/grand-hyatt-kuala-lumpur/kuagh/dining,$$$$,$$$$InternationalDining barsVegetarian Friendly,+60 3-2182 1234,"International, Dining bars","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Cafe:in House,4.5 ,"Unit 1-01, Level 1, Mercu Summer Suites, 8, Jalan Cendana, Kampung Baru,, Kuala Lumpur 50250 Malaysia",http://cafeinhouse2016.beepit.com/,$$ - $$$,$$ - $$$Quick BitesCafeEuropean,+60 12-750 6687,"Cafe, European","Breakfast, Lunch, Brunch, Drinks"
Curate At Four Seasons Hotel Kuala Lumpur,4.5 ,"145 Jalan Ampang, Kuala Lumpur 50450 Malaysia",http://www.fourseasons.com/kualalumpur/dining/restaurants/curate/,$$ - $$$,$$ - $$$InternationalAsianMiddle Eastern,+60 3-2382 7630,"International, Asian, Middle Eastern, Malaysian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Antipodean Atria,4.5 ,"Jalan Ss 22/23 Ground Floor, Atria Shopping Gallery, Petaling Jaya 47400 Malaysia",http://www.antipodeancoffee.com/,$$ - $$$,$$ - $$$CafeInternationalVegetarian Friendly,+60 3-7732 8594,"Cafe, International","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Fuego at Troika Sky Dining,4.5 ,"Tower a Level 23a The Troika 19 Persiaran Klcc, Kuala Lumpur 50450 Malaysia",http://www.troikaskydining.com/fuego,$$ - $$$,$$ - $$$LatinCentral AmericanVegetarian Friendly,+60 3-2162 0886,,
Mosaic,4.5 ,"Kuala Lumpur City Centre (Klcc) Mandarin Oriental P.O.Box 10905, Kuala Lumpur 50088 Malaysia",https://www.mandarinoriental.com/en/kuala-lumpur/petronas-towers/dine/mosaic?src=loc.local_listing.mokul.yxt,$$$$,$$$$InternationalSushiMalaysian,+60 3-2179 8881,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, After-hours"
El Toro Loco KL,5.0 ,"10 Jalan Perak Cormar Suites, Kuala Lumpur 50450 Malaysia",http://www.etlkl.com/,$$ - $$$,$$ - $$$BarMediterraneanSpanish,+60 3-2181 7388,,
Burger & Sushi,5.0 ,"Off Jalan Desa Pandan Jalan 1/76 Lot 06, Ground Floor G-Village, Kuala Lumpur 55100 Malaysia",http://www.facebook.com/Burgerandsushi.net,$$ - $$$,$$ - $$$JapaneseSushiAsian,+60 3-9226 9788,"Japanese, Sushi, Asian, Grill","Vegan Options, Gluten Free Options, Vegetarian Friendly"
Lai Po Heen,4.5 ,"Kuala Lumpur City Centre Mandarin Oriental, Kuala Lumpur 50088 Malaysia",https://www.mandarinoriental.com/en/kuala-lumpur/petronas-towers/dine/laipo-po-heen?src=loc.local_listing.mokul.yxt,$$$$,$$$$ChineseAsianCantonese,+60 3-2179-8977,,
Sao Nam Vietnamese Cuisine,4.5 ,"25 Tingkat Tong Shin, Kuala Lumpur 50200 Malaysia",http://www.saonam.com.my/,$$ - $$$,$$ - $$$VietnameseVegetarian FriendlyVegan Options,+60 3-2144 1225,,
Tamarind Hill Kuala Lumpur By Samadhi,4.5 ,"19 Jalan Sultan Ismail Bukit Bintang, Kuala Lumpur 50250 Malaysia",http://www.tamarindrestaurants.com/,$$$$,$$$$AsianThaiVegetarian Friendly,+60 3-2148 3200,"Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Din Tai Fung Pavilion KL,4.5 ,"168 Jalan Bukit Bintang Lot 6.01.05, Level 6, Kuala Lumpur 51000 Malaysia",http://dintaifung.oddle.me/en_MY,$$ - $$$,$$ - $$$ChineseAsianTaiwanese,+60 3-2148 8292,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch"
Pinchos Tapas Bar,4.5 ,"18, Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.pinchoskl.com/,$$ - $$$,$$ - $$$BarMediterraneanEuropean,+60 3-2145 8482,,
VCR,4.5 ,"2 Jalan Galloway, Kuala Lumpur 50150 Malaysia",http://vcr.my/,$$ - $$$,$$ - $$$Quick BitesAmericanEuropean,+60 3-2110 2330,"American, European, Australian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Ciccio Bar Pizzeria,4.5 ,"15 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",https://www.facebook.com/CiccioKL/,$$ - $$$,$$ - $$$ItalianNeapolitanCampania,+60 3-2141 8605,"Italian, Neapolitan, Campania, Romana, Lazio, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options"
Taps Beer Bar,4.5 ,"1 Jalan Nagasari A-0-3 One Residency |, Kuala Lumpur 50200 Malaysia",http://tapsbeerbar.my/,$$ - $$$,$$ - $$$BarPub,+60 3-2110 4836,"Bar, Pub","Dinner, After-hours, Drinks"
D Empire Pavilion,4.5 ,"168 Jalan Bukit Bintang Lot 6. 33 & 6. 34, Pavilion Kuala Lumpur, Kuala Lumpur 55100 Malaysia",http://www.dempirecuisine.com/,$$ - $$$,$$ - $$$SteakhouseEuropeanGrill,+60 3-2110 6196,"Steakhouse, European, Grill","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Oro Cafe,5.0 ,"3 Jalan Stesen Sentral Hilton Kuala Lumpur, Kuala Lumpur 50470 Malaysia",http://www.eatdrinkhilton.com/oro-cafe/,$$ - $$$,$$ - $$$CafeInternationalAsian,+60 3-2264 2480,,
Feeka Coffee Roasters,4.5 ,"19 Jalan Mesui, Kuala Lumpur 50200 Malaysia",http://www.asianagegroup.com/,$$ - $$$,$$ - $$$Quick BitesCafeVegetarian Friendly,+60 3-2110 4599,Cafe,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
Qureshi Malaysia,4.5 ,"1 Ground Floor, East Wing, TPC Kuala Lumpur , No 10 Jalan 1/70D Off Jalan Bukit Kiara, Kuala Lumpur 60000 Malaysia",http://www.qureshis.com/,$$$$,$$$$IndianAsianVegetarian Friendly,+60 17-244 0135,,
Samad Al Iraqi Restaurant,4.5 ,"No. 1 Jalan Pinang Unit G-3, G Floor, Menara Prestige, Kuala Lumpur 50450 Malaysia",http://www.samadaliraqirestaurant.com.my/,$$ - $$$,$$ - $$$InternationalHealthyArabic,+60 11-1110 0092,"Healthy, International, Arabic","Halal, Vegetarian Friendly, Vegan Options"
MTR 1924 Malaysia,4.5 ,"69 Jalan Thambipillai Brickfields, Kuala Lumpur 50470 Malaysia",http://mtrmalaysia.com/,$,$IndianAsianVegetarian Friendly,+60 3-2276 4924,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Blue,5.0 ,"Equatorial Plaza, Jalan Sultan Ismail Sky51, Kuala Lumpur 50250 Malaysia",https://www.eqkualalumpur.com/dining/blue,$$ - $$$,$$ - $$$BarInternationalWine Bar,+60 3-2789 7777,"Bar, International, Wine Bar, Dining bars","After-hours, Drinks"
Antipodean Tan & Tan,4.5 ,"207 Jalan Tun Razak Menara Tan & Tan, Kuala Lumpur 50450 Malaysia",http://www.antipodeancoffee.com/,$$ - $$$,$$ - $$$CafeInternationalEuropean,+60 3-2161 0752,"European, New Zealand, Cafe, International","Vegetarian Friendly, Vegan Options, Gluten Free Options"
"Nam Heong Vintage, Pavilion Elite",4.5 ,"Lot 106.00 Jalan Bukit Bintang Level 8, Pavilion Elite Mall, Kuala Lumpur 55100 Malaysia",http://www.namheongipoh.com/,$,$CantoneseMalaysianVegetarian Friendly,+60 3-2110 6321,Malaysian,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
myBurgerLab,4.5 ,"14 Jalan 21/22 Seapark, Petaling Jaya 46300 Malaysia",http://www.facebook.com/myBurgerLab,$$ - $$$,$$ - $$$American,,"Dinner, After-hours","Takeout, Seating, Accepts Credit Cards"
Tosca,4.5 ,"The DoubleTree Hotel The Intermark, 182 Jalan Tun Razak, Kuala Lumpur 50400 Malaysia",http://www.eatdrinkhilton.com/tosca-doubletreekl/,$$ - $$$,$$ - $$$ItalianPizzaMediterranean,+60 12-290 4551,"Italian, Pizza, Mediterranean, European, Dining bars","Vegetarian Friendly, Vegan Options"
Betel Leaf,4.5 ,"Lebuh Ampang, Kuala Lumpur 50100 Malaysia",http://www.betel-leaf.com/,$$ - $$$,$$ - $$$IndianAsianVegetarian Friendly,+60 3-2032 5932,"Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Sassorosso,4.5 ,"9 Lorong Yap Kwan Seng, Kuala Lumpur 50450 Malaysia",,$$$$,$$$$ItalianPizzaMediterranean,+60 3-2166 6428,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, After-hours"
Sushi Hibiki,5.0 ,"G7, Ground Floor, Four Seasons Place 145, Jalan Ampang, Kuala Lumpur 50450 Malaysia",http://hibiki4s.me/,$$$$,$$$$JapaneseSeafoodSushi,+60 3-2383 0272,,
Antipodean Bangsar,4.0 ,"20 Jalan Telawi 2 Bangsar Baru, Kuala Lumpur 59100 Malaysia",http://www.antipodeancoffee.com/index.php/ac-our-cafes/antipodean-bangsar,$$ - $$$,$$ - $$$CafeInternationalVegetarian Friendly,+60 3-2282 0411,"Cafe, International","Vegetarian Friendly, Vegan Options, Gluten Free Options"
IPPUDO Pavilion KL,4.0 ,"Pavilion KL Connection Level 4, Pavilion KL, Kuala Lumpur 55100 Malaysia",http://www.ippudo.com.my/store-location/#thegardens,$$ - $$$,$$ - $$$JapaneseAsianSoups,+60 3-2110 6233,"Japanese, Asian, Soups","Lunch, Dinner, Drinks"
Marini's on 57,4.0 ,"Level 57, Menara 3 Petronas Persiaran Klcc, Kuala Lumpur 50088 Malaysia",http://www.marinis57.com/,$$$$,$$$$ItalianEuropeanContemporary,+60 3-2386 6030,"Italian, European, Contemporary",Vegetarian Friendly
THE TOKYO RESTAURANT.,4.5 ,"50 Jalan Sultan Ismail Lot 10, 4th Floor, ISETAN The Japan Store, Kuala Lumpur 50250 Malaysia",http://www.isetankl.com.my/the-tokyo-restaurant/,$$ - $$$,$$ - $$$JapaneseFusionVegetarian Friendly,+60 3-2119 2622,"Japanese, Fusion","Vegetarian Friendly, Vegan Options"
myBurgerLab,4.5 ,"3 Jalan Pjs 11/9, Petaling Jaya 46150 Malaysia",http://myburgerlab.com/,$$ - $$$,$$ - $$$Quick BitesAmericanFast food,+60 10-369 5275,"Vegetarian Friendly, Halal","Lunch, Dinner"
Green Tomato Cafe,4.5 ,"Jalan Tiara Kemensah 3 51 Embun Kemensah, Kuala Lumpur 55000 Malaysia",https://www.facebook.com/greentomatocafe.com.my,$$ - $$$,$$ - $$$AmericanPizzaCafe,+60 12-257 9775,"American, Pizza, Cafe","Vegetarian Friendly, Vegan Options, Halal"
Tamarind Springs By Samadhi,4.0 ,"Jalan 1 Ampang, Selangor, Kuala Lumpur 68000 Malaysia",http://www.samadhiretreats.com/tamarind-springs.html,$$$$,$$$$AsianThaiMalaysian,+60 3-4256 9300,"Cambodian, Asian, Thai, Malaysian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Bijan,4.0 ,"3 Jln Ceylon Golden Triangle, Kuala Lumpur Malaysia",http://www.bijanrestaurant.com/,$$ - $$$,$$ - $$$AsianMalaysianVegetarian Friendly,+60 3-2031 6568,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Dinner, After-hours"
